"sample_id","tree","R2_full","partial_R2_linear","partial_R2_spline","partial_R2_phylo","prop_residual","shapley_log_n_speakers","shapley_n_segments","shapley_delta","shapley_log_n_speakers_n_segments","shapley_log_n_speakers_delta","shapley_n_segments_delta","shapley_triple","prop_linear_norm","prop_spline_norm","prop_phylo_norm","prop_residual_norm","shapley_norm_log_n_speakers","shapley_norm_n_segments","shapley_norm_delta","shapley_norm_log_n_speakers_n_segments","shapley_norm_log_n_speakers_delta","shapley_norm_n_segments_delta","shapley_norm_triple"
3013,"heggarty2024",0.136713434095949,-0.0942283934022516,0.0333725782357467,0.0696152263782613,0.863286565904051,0.0138059522322739,0.0391856225424078,0.0125074946475246,0.020897008767022,0.0431686332471533,0.00979184781592202,0.0705250723671394,0.178447103307735,0.0283742787309648,0.0591887693909186,0.733989848570382,0.0117381981702967,0.0333166879828809,0.0106342140199038,0.0177672083712063,0.0367031526164048,0.00832529681277541,0.0599623453342667
3014,"heggarty2024",0.22637275146673,0.035008511022236,0.352800932825876,0.458985943390289,0.77362724853327,0.0126935385944325,0.0105700994114818,0.0296769828618314,0.0306616672328767,0.0408725711944464,0.0163019728084805,0.128993909617547,0.145414479492996,0.19017023004132,0.247407119196431,0.417008171269253,0.00684219606565779,0.00569759898461831,0.0159967792957968,0.0165275535538462,0.0220315354729073,0.00878724977931435,0.0695315663408556
3015,"heggarty2024",0.11894213638638,-0.0432430747966414,0.357569016602349,0.00945398852566567,0.88105786361362,0.040908841899846,0.00799650251686759,0.0317351628054757,0.00218857338657644,0.0105508805423133,0.0123024896449003,0.00634054152573642,0.0823635573199053,0.262898317429079,0.00695093131952026,0.647787193931495,0.0300777338194326,0.00587933226703422,0.0233328966367793,0.00160912225105028,0.00775740797769995,0.00904525749620477,0.00466180687170411
3016,"heggarty2024",0.0925661944153734,-0.213145516469269,0.502184531994859,0.056664138796023,0.907433805584627,0.107135367703252,0.00937319639683534,0.0112964748758927,0.0156185275061625,0.0100398277004927,0.0105521735234919,0.0406763469894493,0.122498534860472,0.300533948741705,0.0339108361557244,0.543056680242099,0.0641155054653945,0.00560941953803803,0.00676041173117666,0.00934695803216418,0.00600836718632009,0.00631498219235308,0.0243428907150253
3017,"heggarty2024",0.235733649807649,0.273290410076241,0.260345010208524,0.088266882919335,0.764266350192351,0.00962853255045073,0.011045390500396,0.0669272680998424,0.0842382931533175,0.0109300206489042,0.0133513355689497,0.104091834932864,0.212451068410369,0.184237975596239,0.0624636969543737,0.540847259039018,0.0068138096583326,0.0078164754678147,0.0473623227002721,0.0596127906804093,0.00773483185241888,0.0094483202683975,0.0736625177827237
3018,"heggarty2024",0.433043551951849,0.089993452216132,0.88483181846163,0.216916098614194,0.566956448048151,0.00208979724948492,0.0409067791549138,0.0234657565150793,0.0533306443882256,0.00503004050136443,0.0206509481308437,0.128487005935982,0.141023246082613,0.455473107801526,0.111659015314076,0.291844630801785,0.00107573713788103,0.0210570386858746,0.0120791554099165,0.0274523065669078,0.00258924705432409,0.0106302139321308,0.0661395472955778
3019,"heggarty2024",0.372964558600958,-0.104267414137641,0.748740247151806,1.99549919152792,0.627035441399042,0.0301838915520137,0.021319975660486,0.0126174706046286,0.00258206832616717,0.00655737692169596,0.0187964446757678,0.0075750593322415,0.0287049702786373,0.215718891659734,0.57492151055294,0.180654627508689,0.00869625435035261,0.0061424793674275,0.00363520831788264,0.000743917426142519,0.00188924007641407,0.00541542708305626,0.00218244365736166
3020,"heggarty2024",-0.230124413464178,-0.0873890303762483,0.346653164461932,0.209829054057471,1.23012441346418,0.0154109986967721,0.0040981671667922,0.0793624265746028,0.0606196215458192,0.104674425575907,0.0167640121977412,0.0596716509347221,0.160116600328611,0.162961579265988,0.0986405939151577,0.578281226490243,0.00724470722657391,0.00192654751798701,0.0373082599406028,0.0284972712623198,0.049207425315407,0.00788075858709837,0.028051630478622
3021,"heggarty2024",0.430847536622269,0.114567478186167,1.42868546332269,0.404660226911878,0.569152463377731,0.0245916364655075,0.00501333793856732,0.00739080582629476,0.0839176200473626,0.0285186114808897,0.00487929347078716,0.0158035700896858,0.0661253260424313,0.555344098492782,0.157295412236937,0.22123516322785,0.00955901108676355,0.0019487337901922,0.0028728789534914,0.032619604699048,0.0110854649184202,0.00189662938650898,0.00614300320800688
3022,"heggarty2024",0.30524533971938,0.106452314180375,0.636412474608331,-0.0453291535006607,0.69475466028062,0.0113407585078016,0.0146439626490527,0.0750229935976055,0.0313140516142887,0.0169147940800511,0.0421733446778267,0.0829958518451032,0.170908314635111,0.396377192112904,0,0.432714493251986,0.00706337193738921,0.00912070870359673,0.0467266195000728,0.0195033509677653,0.0105350521086892,0.0262668514719082,0.0516923599456891
