"sample_id","tree","Intercept","log_n_speakers_norm","n_segments_norm","delta_norm","log_n_speakers_norm.n_segments_norm","log_n_speakers_norm.delta_norm","n_segments_norm.delta_norm"
12,"long_v3_CCD0.0.25",2.08587197080895,0.0227138755446533,0.01579110869576,-0.169503628112968,-0.0441687313706325,0.0588542333232679,0.128277632747165
13,"long_v3_CCD0.0.25",1.73749260189247,-0.00746715519678852,0.00495824594077388,-0.0368021472039774,-0.0194387761258599,-0.0572230735872088,0.0170906061720052
14,"long_v3_CCD0.0.25",2.07777594149329,0.0189149368542,0.00767207354391512,-0.105782833714364,-0.0434610636600935,-0.032686021107677,0.0771791801043251
15,"long_v3_CCD0.0.25",2.06698247040407,0.0603838881109138,-0.0638715537488136,-0.1449326904831,-0.0287917875306284,0.0345434174911417,0.0519252184346883
16,"long_v3_CCD0.0.25",2.04299053351712,0.0676798632699675,-0.0591278419213538,-0.129917552679269,-0.0630618188914406,0.0200751088884726,0.0642315370146046
17,"long_v3_CCD0.0.25",1.82990112586281,-0.0722997221827778,1.79406083152724e-05,-0.0807735313066349,-0.00991905736830362,0.0871429828261708,0.057255245987213
18,"long_v3_CCD0.0.25",2.03731111631838,0.00300892317682908,-0.0999833733790052,-0.0800573859900718,0.0112099022348288,0.0158855610368103,0.0555708767232293
19,"long_v3_CCD0.0.25",1.96414626658527,0.0196599790209197,-0.0839429388448462,-0.109378495211298,0.000727513019181851,0.0178152180292278,0.000976344103138178
20,"long_v3_CCD0.0.25",2.02220800221473,0.0298682106135047,-0.000672729545300206,-0.11221705446598,-0.0501589959554447,-0.0233643033931358,0.0175303123636989
21,"long_v3_CCD0.0.25",1.89788838710269,0.00281336385028321,-0.0249464820715174,-0.0297585421641204,-0.0657144641625431,-0.0310580456507034,0.0193942185039301
22,"long_v3_CCD0.0.25",1.73920757711793,0.00126774095836273,-0.0168587249571788,-0.0709835549684475,0.0232643356378207,0.00235108333250414,0.0435067163111197
23,"long_v3_CCD0.0.25",2.06859096706999,0.0107403924886971,-0.0376029604912595,-0.0574311033130487,-0.0417135706360311,-0.0145595802323153,0.086296561399444
24,"long_v3_CCD0.0.25",2.09621741004032,0.0215992462280284,0.024369667783023,-0.185386657346848,0.0102182127398835,0.00477752991455393,0.0669540449139494
25,"long_v3_CCD0.0.25",2.07973226078639,0.0779187086436918,0.0138229415863532,-0.0643888987174493,-0.00445611202433836,-0.0244226778831531,0.0929111690815171
26,"long_v3_CCD0.0.25",1.90329371593212,-0.0450729908861896,0.0395222225873007,-0.0458796567081874,-0.0145257055815085,-0.0595147256779204,0.0412212000827
27,"long_v3_CCD0.0.25",2.1842705223782,0.0818792363750535,-0.0263629563493338,-0.0563820017771711,-0.00415075078356716,0.00769416313094399,0.0386522434860265
28,"long_v3_CCD0.0.25",2.12186068064724,0.00644070567163898,0.0253760767408598,-0.00758118910566072,-0.069526360553252,0.0276401937422589,-0.00389968226542198
29,"long_v3_CCD0.0.25",1.93270728929645,0.0525376521428751,-0.00804924153917651,-0.0871261585490854,-0.00638687368980287,-0.0159006045785106,0.0178963764531601
30,"long_v3_CCD0.0.25",1.77095555274635,0.0398953292307867,0.0472762711038804,-0.0541449424928607,0.0162497398677127,-0.0342616697119606,-0.0264429633349791
31,"long_v3_CCD0.0.25",1.57355722179545,0.019351565516396,-0.0328613490706771,-0.0714995542020674,-0.0280974152874416,0.0184650354608046,0.0410655066378794
32,"long_v3_CCD0.0.25",2.24498315121867,0.0561316069773322,0.00290673649684483,-0.0809095042373317,-0.0137775020462602,0.0228382941509701,0.116751254709067
33,"long_v3_CCD0.0.25",1.5837221677297,-0.0291577020493791,0.021285355053655,-0.0499930625495115,-0.0129813925711032,0.0479911410127486,-0.0167960003041317
34,"long_v3_CCD0.0.25",1.74408158713017,-0.0126484102492818,0.000815727087864858,-0.0908787428848594,-0.00945996723271751,0.00237559923149675,-0.00625402879353535
35,"long_v3_CCD0.0.25",1.84834454866445,0.000268538106714389,-0.0184173033621921,-0.0908907748339124,-0.0360654406031074,0.0923503547565167,-0.00349467037972159
36,"long_v3_CCD0.0.25",2.05742001033408,0.0384316048735814,-0.040273291099819,-0.132169447601706,-0.0513917569392485,0.0299975083178614,0.0439615665355624
37,"long_v3_CCD0.0.25",1.98421925140208,0.0728552289124284,-0.0671713047594283,-0.231091466802372,-0.129568569074937,0.0145125510842463,0.0123346500908499
38,"long_v3_CCD0.0.25",2.0848626763121,0.0561996015863483,0.0732718430380202,-0.0784811641383993,0.0338956338024785,0.093881084689614,0.105068391656587
39,"long_v3_CCD0.0.25",1.91078272602569,0.0853349391226027,-0.023918686243331,-0.136731156550836,-0.0117878596696457,0.0292237459222749,0.0671611629593117
40,"long_v3_CCD0.0.25",1.92185638220519,-0.0624537318302836,0.0306573638324444,-0.138913578252707,-0.0519929358313129,0.0371638783095893,-0.0425866132393144
