,Greek,ArmenianEastern,French,Catalan,Spanish,Portuguese,Italian,Romanian,Danish,NorwegianBokmal,Swedish,Dutch,German,English,Belarusian,Ukrainian,Russian,Czech,Slovak,Polish,Bulgarian,Macedonian,SerboCroatian,Slovene,Latvian,Lithuanian,Assamese,Bengali,Hindi,Urdu,Punjabi,Nepali,Marathi,PersianTehran,KurdishCJafi,Pashto
SerboCroatian,0,0,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,8.349925,8.349925,8.349925,8.349925,8.349925,8.349925,8.971473,8.971473,9.774745,8.263718,6.046337,6.046337,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144
Slovene,0,0,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,8.263718,8.263718,8.263718,8.263718,8.263718,8.263718,8.263718,8.263718,8.263718,9.774745,6.046337,6.046337,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144
Latvian,0,0,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,6.046337,6.046337,6.046337,6.046337,6.046337,6.046337,6.046337,6.046337,6.046337,6.046337,9.774746,8.407977,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144
Lithuanian,0,0,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,3.04216,6.046337,6.046337,6.046337,6.046337,6.046337,6.046337,6.046337,6.046337,6.046337,6.046337,8.407977,9.774746,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144
Assamese,0,0,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,9.774745,9.102816,8.246222,8.246222,8.246222,8.246222,8.039354,4.19743,4.19743,4.19743
Bengali,0,0,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,9.102816,9.774745,8.246222,8.246222,8.246222,8.246222,8.039354,4.19743,4.19743,4.19743
Hindi,0,0,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,8.246222,8.246222,9.774744,9.553043,9.373158,8.401226,8.039354,4.19743,4.19743,4.19743
Urdu,0,0,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,8.246222,8.246222,9.553043,9.774744,9.373158,8.401226,8.039354,4.19743,4.19743,4.19743
Punjabi,0,0,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,8.246222,8.246222,9.373158,9.373158,9.774744,8.401226,8.039354,4.19743,4.19743,4.19743
Nepali,0,0,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,8.246222,8.246222,8.401226,8.401226,8.401226,9.774744,8.039354,4.19743,4.19743,4.19743
Marathi,0,0,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,8.039354,8.039354,8.039354,8.039354,8.039354,8.039354,9.774745,4.19743,4.19743,4.19743
PersianTehran,0,0,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,4.19743,4.19743,4.19743,4.19743,4.19743,4.19743,4.19743,9.774747,8.39899,6.553236
KurdishCJafi,0,0,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,4.19743,4.19743,4.19743,4.19743,4.19743,4.19743,4.19743,8.39899,9.774747,6.553236
Pashto,0,0,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,2.351144,4.19743,4.19743,4.19743,4.19743,4.19743,4.19743,4.19743,6.553236,6.553236,9.774745
