"sample_id","tree","Intercept","log_n_speakers_norm","n_segments_norm","delta_norm","log_n_speakers_norm.n_segments_norm","log_n_speakers_norm.delta_norm","n_segments_norm.delta_norm","log_n_speakers_norm.n_segments_norm.delta_norm"
35,"heggarty2024",-6.43452437572154,-0.121115455350842,-0.00108026929268711,0.0439853623160759,0.118715237317887,-0.174223924176388,0.2295215061144,0.0335045230590996
36,"heggarty2024",-5.95820429467281,-0.0455295536807793,0.088230726435645,0.22683668894667,-0.165926064379669,-0.107913172842306,-0.129119317393833,-0.89470200389227
37,"heggarty2024",-6.19203728106565,-0.0292208354818711,-0.120405528975016,-0.225100215173647,0.028731300030008,-0.0169057411648824,-0.0871981923500133,-0.0584556059638271
38,"heggarty2024",-5.93010693292289,-0.0592481403593522,0.0723472200876534,-0.0149773114513852,-0.0520415788195836,-0.0334526142078963,0.0203743051804362,-0.281242917623281
39,"heggarty2024",-6.0120439221284,-0.0788130512243857,-0.116162465939291,-0.0174267758248877,-0.222541210544918,-0.3445185788006,0.0693195051278018,-0.351787086084967
40,"heggarty2024",-6.00053865389162,0.0582337580038937,-0.131486751257737,0.174409023548074,0.0662520132313146,0.301480087752312,0.095266362209317,-0.321524154950116
41,"heggarty2024",-5.82287796003678,-0.0251157060832488,0.0241327251478696,0.143989860820978,-0.0452132860924103,0.0141233449510417,0.1271253244494,-0.285132831828408
42,"heggarty2024",-6.10637783021054,-0.0695428709013921,0.0587477984267063,-0.151909715261573,0.103004142600427,-0.0221079436653627,-0.17294028041944,-0.123312034687343
43,"heggarty2024",-5.88224600366151,0.123680422497242,-0.0154937760317808,0.324275816559516,0.109599047195035,0.130049686753815,-0.189018075075942,-0.281481208314021
44,"heggarty2024",-6.32746530723915,-0.196502928080412,0.132015532287937,0.624763933204713,-0.212535335099268,-0.450883640402125,0.28334993394516,-1.09340850642385
45,"heggarty2024",-6.44483284090753,-0.177650185468669,0.111111533690674,0.342830212699697,0.023672344930853,-0.396544983202035,0.359618661103442,-0.80940273263729
46,"heggarty2024",-6.09610071183169,-0.1767507305118,-0.0693657863949547,-0.603306460433585,0.180553287650492,-0.431566856587643,-0.119429931125844,0.287728960429254
47,"heggarty2024",-6.6848965364978,-0.0616778202433807,-0.177579177125978,-0.343167401421076,0.0441943366370846,-0.168404945080857,-0.181679479213143,0.0170868527169843
48,"heggarty2024",-7.16090148794977,-0.1530815377196,-0.109608641294963,-0.148508871243309,-0.21412555654972,-0.333542605200218,-0.0485108829034328,-0.428227173312424
49,"heggarty2024",-6.24866991868127,-0.0744183712518795,-0.0840283823832083,-0.130500185835518,-0.00810517882988605,-0.415479485341607,0.271908356650702,0.3481896858285
50,"heggarty2024",-5.79400864846188,-0.186265305890546,-0.135676762191098,-0.359547617834618,0.0256341907317566,-0.369943310971118,-0.197860808228627,-0.0434588199848931
51,"heggarty2024",-6.87877449920909,-0.0782279978175006,-0.0443466836825212,-0.129301514711678,0.0770044287331115,-0.259748424457396,0.126233800715266,0.167282800707032
52,"heggarty2024",-5.7395361481652,0.0424586550518204,-0.0602551851677448,-0.153565036613964,0.0272586825209313,-0.0753196942492026,-0.0433391366900668,0.150606113944435
53,"heggarty2024",-5.61057266489156,-0.0822585499485296,0.0547845880800622,0.165619333891694,-0.0433352755261081,0.240512143486096,0.0426257434155054,-0.732523062145814
54,"heggarty2024",-6.04236805996443,-0.000546312093017785,-0.101430197897051,0.137421559440928,0.0289535933730755,0.234446028111082,-0.0610253456097327,-0.272557885027863
