"sample_id","tree","R2_full","partial_R2_linear","partial_R2_spline","partial_R2_phylo","prop_residual","shapley_log_n_speakers","shapley_n_segments","shapley_delta","shapley_log_n_speakers_n_segments","shapley_log_n_speakers_delta","shapley_n_segments_delta","shapley_triple","prop_linear_norm","prop_spline_norm","prop_phylo_norm","prop_residual_norm","shapley_norm_log_n_speakers","shapley_norm_n_segments","shapley_norm_delta","shapley_norm_log_n_speakers_n_segments","shapley_norm_log_n_speakers_delta","shapley_norm_n_segments_delta","shapley_norm_triple"
15179,"long_v3_CCD0.0.25",0.993309028744627,0.124801652785832,0.0325783565276527,0.829753228342938,0.0066909712553733,0.000664143249313862,0.00201789501233241,0.072725459116881,0.00567465005525041,0.0135748862758524,0.0144080325444677,0.00320333021374873,0.114408877582221,0.033199487309589,0.845573095471513,0.00681853963667687,0.000676805638081505,0.00205636769298503,0.0741120244965558,0.00578284151122643,0.0138337016559364,0.0146827324825358,0.00326440410490027
15180,"long_v3_CCD0.0.25",0.991246647429698,0.265034496017132,0.0567072129862567,0.629970017073349,0.00875335257030175,0.00368749490512722,0.00367843007795335,0.0672486070980117,0.0511576035751813,0.00463957303419008,0.0716946153498169,0.018838587753149,0.241107398809772,0.0618820705391536,0.687458384589148,0.00955214606192642,0.00402399990786279,0.00401410786335807,0.0733854271608718,0.0558260275252931,0.0050629606121339,0.0782371590970287,0.0205577166432237
15181,"long_v3_CCD0.0.25",0.993999812556488,0.183389743186608,0.068589849692462,0.694988434797958,0.00600018744351213,0.0042092016780548,0.00313484808977242,0.0401721542854551,0.0231099597563645,0.00149897584475918,0.061001025350486,0.0126774872660371,0.159281734278545,0.074930291818886,0.759233129444879,0.00655484445768934,0.00459830006153013,0.00342463328360871,0.0438856661313441,0.0252462432303217,0.00163754109362935,0.0666399569507368,0.0138493935273745
15182,"long_v3_CCD0.0.25",0.992578933434205,0.13010966288316,0.610577161930161,0.974161228660596,0.00742106656579482,0.0141308788160528,0.0167893779695575,0.073293403578226,0.0131266850762287,0.00314883980930722,0.00411682012399326,0.0158379767200402,0.081059507854956,0.352404449915256,0.562252854053152,0.00428318817663631,0.00815586446150084,0.00969026009600071,0.0423024691731852,0.00757627785958411,0.00181740364700554,0.00237608908693811,0.00914114353074148
15183,"long_v3_CCD0.0.25",0.992688106763977,0.175410496711627,0.281934521716054,0.83258573590369,0.00731189323602333,0.00988955947643211,0.0265273722599177,0.0609585343213075,0.0335040383724664,0.0343143426524215,0.0135361671035274,0.0061570347446026,0.141489502075803,0.21575754130048,0.63715734492901,0.0055956116947071,0.00756823614289004,0.0203007442335377,0.0466500640162553,0.0256398148721944,0.0262599207680039,0.0103588950906512,0.00471182695227012
15184,"long_v3_CCD0.0.25",0.990001918926766,0.208499047803968,0.293694937677313,0.77116093023515,0.00999808107323394,0.00901259606802494,0.00335602645524986,0.0444132297194101,0.00701268738475703,0.0127513304018747,0.126801100766139,0.0109087530043873,0.166204418695326,0.227827735589548,0.598212042400401,0.00775580331472484,0.00699133383162839,0.00260336767778499,0.0344526386365877,0.00543994629223738,0.00989157918140612,0.0983633149630661,0.00846223811261568
15185,"long_v3_CCD0.0.25",0.98816907739127,0.179926716578018,0.0925930049897866,0.86373047181718,0.0118309226087304,0.00637480807602521,0.00389621762810606,0.018259387102454,0.0159218666884325,0.00150874986204463,0.110441448829128,0.000675908395063272,0.139596347116817,0.0822878662460494,0.767601586592519,0.0105142000446141,0.00566532379375807,0.00346258807652324,0.016227208564916,0.0141498424917701,0.00134083354201938,0.0981498674794454,0.000600683168384949
15186,"long_v3_CCD0.0.25",0.984887992078341,0.359525283837608,0.187540380988957,0.83481573761765,0.0151120079216588,0.0179418603851286,0.0296588905782582,0.0685851382822985,0.0462467531945483,0.00647054088517765,0.177713991889454,0.0035335077249368,0.252339245151937,0.135152665637942,0.601617484514836,0.0108906046952851,0.0129299633751768,0.0213739467755036,0.0494264979793623,0.0333281394565966,0.00466305360018728,0.128071189779835,0.00254645418527538
15187,"long_v3_CCD0.0.25",0.980587336298039,0.256756203271531,0.191230334509153,1.05873528789944,0.0194126637019613,0.0154234184841909,0.00831400193877004,0.102459852194316,0.0136352239646607,0.0181707522252756,0.0878401946603704,0.012632905940673,0.169176008894646,0.125162649681145,0.69295550982828,0.0127058315959289,0.0100948206233989,0.00544161842723138,0.0670612568842479,0.00892442490776004,0.0118929849756979,0.0574925078723492,0.00826839520396081
15188,"long_v3_CCD0.0.25",0.977222238889718,0.330995228737317,0.816846579244801,0.622281274876735,0.0227777611102824,0.0107071962688891,0.0137755562847167,0.173296855193446,0.0111141775645484,0.0159889843713985,0.0498031721758426,0.00451546249499315,0.160358554191734,0.469153573017696,0.357405528710593,0.0130823440799768,0.0061496485560303,0.00791195264263249,0.0995325693619265,0.00638339713729566,0.0091832289408629,0.0286043141608232,0.00259344339216307
