"sample_id","tree","Intercept","log_n_speakers_norm","n_segments_norm","delta_norm","log_n_speakers_norm.n_segments_norm","log_n_speakers_norm.delta_norm","n_segments_norm.delta_norm"
35,"heggarty2024",-5.92928876752076,0.0159283841636348,-0.0950077049465678,-0.103390358843393,0.0386814732508485,0.172190595060398,-0.0392060007843365
36,"heggarty2024",-5.89072215980262,-0.0522880148890224,0.0450880834288244,-0.00138272895138319,0.0268143151294172,-0.247123205486973,0.220653068896642
37,"heggarty2024",-5.81685392303155,0.0477882942012505,0.0394362191330625,-0.19248977608471,-0.0577571297902999,0.00199940846360936,-0.0611522602017296
38,"heggarty2024",-5.86141131021351,-0.0652134741549478,-0.0782394075750444,-0.205778529158053,-0.0407691889833256,-0.0628472926061218,0.0107649396548187
39,"heggarty2024",-5.80643392593354,0.144609909750466,0.0719472388479288,-0.00923311425422622,0.00360361995781036,0.183686605333395,0.0507119929723897
40,"heggarty2024",-5.92541805585576,-0.158430085430038,-0.0926085256112467,-0.168577261326833,0.110416893460205,-0.184930931395158,0.0132917843404279
41,"heggarty2024",-5.83759560167983,0.0602005110275535,0.0980047743444584,0.0306344996922139,-0.0300570378334095,0.121652794083879,0.0204985421979721
42,"heggarty2024",-5.89341883074852,0.0517712399756704,-0.0957109152719284,-0.0212268643653687,0.156222062744044,0.102586223237662,0.0646396899652937
43,"heggarty2024",-5.89616410544574,-0.0183677319712555,-0.0112531885958564,-0.185492438579912,-0.036795009269327,-0.076600743225808,-0.0943712958902622
44,"heggarty2024",-5.9410009668517,0.0204841992356922,0.067644384410239,0.0140688946424499,0.0378138092198321,-0.0555520863858163,0.0569172102279636
45,"heggarty2024",-6.05891691845882,-0.0183212638352548,-0.0690122862883145,-0.163720135081525,-0.0555136139598621,-0.047866858693344,-0.143573707845182
46,"heggarty2024",-5.62348200937463,-0.00611036592417793,0.0932811852762557,0.16234435773662,0.0215943472238586,-0.0135771814156662,0.278547537547786
47,"heggarty2024",-5.99245973936015,0.000467172558309643,0.0349942439833828,-0.0565375480918351,0.173882153044145,0.185199714643567,-0.0601884105703481
48,"heggarty2024",-5.79392094196645,-0.0400470165514485,0.0504397869457361,-0.0807595295959386,0.0197924160527558,-0.00651326764110414,0.00369305210202863
49,"heggarty2024",-5.87030767891783,-0.0500333014787409,-0.0278179790364436,0.0854776123455245,0.145759463749033,-0.047103284526034,0.120730303528191
50,"heggarty2024",-5.84795078560491,-0.0226036468410993,-0.106712878743,-0.171243793474913,0.04136607642512,-0.203012846519447,0.0328489455554688
51,"heggarty2024",-5.80781211377667,-0.105895479575047,0.0692564318984734,-0.00294851874654868,0.0766727693541152,0.064770077461033,-0.010902887439719
52,"heggarty2024",-5.86440646183306,0.141342631490164,-0.0405717819927324,-0.0226930423320518,0.0648388380765293,0.0819352087785301,0.0808595325379021
53,"heggarty2024",-5.65944090740096,-0.024573512776762,-0.0313337765562712,0.0373486918041046,0.114548219866759,0.0349866220017672,0.0795361704136129
54,"heggarty2024",-5.98788099027088,0.00125743934567902,-0.072497288169707,-0.285867122510202,-0.079779126350994,-0.246366173628145,-0.0269271870824883
55,"heggarty2024",-5.97129056901377,-0.0050664714036115,-0.121404770367988,-0.317213978946861,-0.064643716275993,-0.165629327143807,-0.182026916918836
56,"heggarty2024",-5.94532694816714,0.00713510735434332,-0.0288813834017264,-0.0918089435239863,-0.0245544007269256,0.131423687576821,-0.0507264995813645
