"sample_id","tree","Intercept","log_n_speakers_norm","n_segments_norm","delta_norm","log_n_speakers_norm.n_segments_norm","log_n_speakers_norm.delta_norm","n_segments_norm.delta_norm","log_n_speakers_norm.n_segments_norm.delta_norm"
46,"long_v3_CCD0.0.25",1.92535420495135,0.0709342905267846,0.0904122077390617,-0.128564125829925,-0.0385030668649997,0.109338052338886,-0.0828094027354335,-0.0507161245072769
47,"long_v3_CCD0.0.25",2.02362135085004,-0.0345805227652755,0.0251344552823818,-0.133107394459293,-0.0428633114735371,-0.0127468613924954,0.0696252511123718,-0.00501945884402807
48,"long_v3_CCD0.0.25",2.026020974159,0.0398897237820257,0.00274305840710792,-0.0924337880768407,-0.0776883295289856,-0.064044859089151,0.0460398452321395,0.0171676245376989
49,"long_v3_CCD0.0.25",1.98187589085998,0.04595240805737,-0.0201144130892284,-0.0944169226155452,0.0487769810463152,0.0562061280217884,0.111019207477659,0.017713055414547
50,"long_v3_CCD0.0.25",1.99338011153466,0.0634637308456067,0.00987639475246257,-0.137626483849305,0.0186731806252163,0.0226318715847409,0.0833956442803281,-0.0276025927932711
51,"long_v3_CCD0.0.25",2.06946291168782,-0.0027960483413751,0.0241447992049505,-0.107172380636544,-0.055107480825826,0.0577878684915008,0.0548022844962073,0.056643983637277
52,"long_v3_CCD0.0.25",2.110705736611,0.0508006006100476,0.00221294647979492,-0.179152444771347,-0.0897040253264929,0.0279395207696823,0.0209647484326588,0.0547290825974324
53,"long_v3_CCD0.0.25",2.12395866320225,0.0542228189754431,-0.0307314971407731,-0.132932058373828,0.0132821759377252,0.104687846203669,0.132850396741848,-0.0423424821719247
54,"long_v3_CCD0.0.25",1.68809528470425,0.0931140364993184,0.0680059616313093,-0.0662001490366697,0.00656985018998203,-0.0636570749696697,0.0332136932447529,0.0663925590397781
55,"long_v3_CCD0.0.25",2.12312221545061,-0.0654454449321744,0.0294420471152709,-0.10677138307414,-0.062562082300076,0.0339103584324451,0.0164703938193511,-0.0146374640043827
56,"long_v3_CCD0.0.25",1.97361412387265,-0.0313243338193332,0.0170574400286811,-0.102100191015564,-0.0448069472590726,0.00314898784317734,0.0502632102946487,0.0513709807178767
57,"long_v3_CCD0.0.25",1.79164576552548,0.0433782818626072,-0.0120128767116035,-0.0203373605841989,0.0606007102509081,0.0674888071426052,0.061568503741725,0.0172380887083069
58,"long_v3_CCD0.0.25",2.04547218625369,0.0672063332667293,-0.0177339029776956,-0.038019226758887,0.0297571114104043,0.0619059855086023,0.0772384001346239,-0.0184351257755273
59,"long_v3_CCD0.0.25",2.05324526641437,0.0442831724337557,0.0193280700342536,-0.138630151021945,0.0166658249636438,0.0540658390323032,0.112453952473997,0.0216764128899341
60,"long_v3_CCD0.0.25",2.04593728406894,0.0171435054527803,0.0314768062980405,-0.145401731414922,-0.0231969331885506,0.0497930561621079,0.0852664979553762,-0.0275721621232123
61,"long_v3_CCD0.0.25",2.05371473711642,0.0306964093569398,0.0195607031754133,-0.126952611542088,0.00691924361173118,0.0390096659644471,0.0929087280157586,-0.0311300596590315
62,"long_v3_CCD0.0.25",1.97432445357521,0.105138440493719,-0.00264535900072085,-0.0476488866104772,0.0205324332464263,0.0812506000258392,0.106929679523286,0.0388001589654936
63,"long_v3_CCD0.0.25",1.91632311587437,-0.013426600127242,-0.00936024023101554,-0.148376685749942,-0.0945998298187318,0.0462336354885582,0.0087220599504086,0.00700366616960525
64,"long_v3_CCD0.0.25",1.8660772972085,-0.0241347488681412,-0.0203206479677933,-0.194344996731848,-0.100594424141697,0.107435121754646,0.0420932819357647,-0.0348388328626327
65,"long_v3_CCD0.0.25",1.92608589435412,-0.0310176942125245,0.0170111798723233,-0.140965095477646,-0.0974272615160024,0.00285637080817494,0.0243724918596306,-0.043365348479733
