"sample_id","tree","R2_full","partial_R2_linear","partial_R2_spline","partial_R2_phylo","prop_residual","shapley_log_n_speakers","shapley_n_segments","shapley_delta","shapley_log_n_speakers_n_segments","shapley_log_n_speakers_delta","shapley_n_segments_delta","prop_linear_norm","prop_spline_norm","prop_phylo_norm","prop_residual_norm","shapley_norm_log_n_speakers","shapley_norm_n_segments","shapley_norm_delta","shapley_norm_log_n_speakers_n_segments","shapley_norm_log_n_speakers_delta","shapley_norm_n_segments_delta"
7066,"heggarty2024",0.243270770739438,0.196324761735473,0.264472644248466,1.04645239685856,0.756729229260562,0.214551782875644,0.0650502222821952,0.181886424564884,0.0656757423470062,0.0661408182820064,0.251873296677445,0.290156838875945,0.0907956908051139,0.359255939446716,0.259791530872224,0.0736574377853671,0.0223322903051905,0.0624431445958015,0.0225470366225587,0.0227067011160838,0.0864702284509438
7067,"heggarty2024",0.307065286606098,0.108876759720571,2.33999302632212,2.3573788096043,0.692934713393902,0.00281041068076584,0.0142782622883768,0.0964237795738083,0.136136482020542,0.0220601340924627,0.0219610801532116,0.0516663182144659,0.411682374963321,0.414741110810689,0.121910196011524,0.00049444444093001,0.00251201984925019,0.0169641405471525,0.0239509219074284,0.00388110917128185,0.00386368229842297
7068,"heggarty2024",0.161974690292508,0.00333794013537946,1.09788672305081,0.221662818330362,0.838025309707492,0.00825018354588201,0.044945803557025,0.044828073018582,0.0581553190019553,0.0415464294289922,0.0190793377542944,0.0913102142641693,0.462388802236857,0.0933560839349719,0.352944899564002,0.00347466856818713,0.0189294904801796,0.018879906783142,0.0244928440543424,0.0174978013100545,0.00803550306826363
7069,"heggarty2024",-0.034567851888645,-0.315698839250178,0.0353997882763336,0.167836496512803,1.03456785188864,0.295044967820874,0.0789382952598206,0.0165498601269534,0.0546753635394554,0.0514649172592855,0.0289632231030707,0.298074445086876,0.0200742712787854,0.0951755794463719,0.586675704187966,0.167312094559515,0.0447637918328991,0.00938498217054379,0.0310049334586279,0.0291843754075171,0.0164242676577738
7070,"heggarty2024",0.534445768248296,0.0987670338555398,0.418974775550153,0.482899175753803,0.465554231751704,0.133691988153432,0.0446625658690513,0.00661845050042146,0.0931471169857885,0.0291466436803891,0.0076578712137477,0.187192979237374,0.249040968519915,0.287037992369066,0.276728059873645,0.0794672714350515,0.0265476809337931,0.00393404428837453,0.0553671714449115,0.0173249293152257,0.00455188182001715
7071,"heggarty2024",0.092983050123507,-0.121071481600828,0.960796993993016,0.0949098026643309,0.907016949876493,0.0980634480706794,0.00375618351766102,0.0859593341271371,0.0129933851712836,0.0233955633950587,0.0187170161770118,0.1101214975224,0.435615349184722,0.0430311159247612,0.411232037368117,0.0444609459028734,0.00170301448159995,0.0389730667202225,0.00589106549444661,0.0106073047495254,0.00848610017373177
7072,"heggarty2024",0.0173038679149065,-0.146617357140441,0.126512965131167,0.518660036370972,0.982696132085094,0.0204740753475655,0.204815515015171,0.00630189079797126,0.014540298481286,0.00369584042181659,0.00291018336267698,0.134391614989902,0.0672724122415827,0.275793961068,0.522542011700516,0.0108869508798457,0.108909262740679,0.00335098774440248,0.00773170522510945,0.00196523810961016,0.00154747029025542
7073,"heggarty2024",0.102256527816074,-0.0926455199710079,0.500184359167764,0.154595273642092,0.897743472183926,0.00203776037829737,0.0037258365389625,0.0171746635165469,0.00454861009874547,0.0069280850917177,0.0687914742045057,0.0623329038095803,0.302093034307906,0.0933698834203983,0.542204178462116,0.00123073263805477,0.00225026881540879,0.0103728677633255,0.00274719391246043,0.00418430966290649,0.0415475310174243
7074,"heggarty2024",0.180283611796727,0.0667230376280557,0.631905996949653,0.031787065852136,0.819716388203273,0.00948900959545973,0.0080787083096773,0.113077102194817,0.0611224427772802,0.0528989835883657,0.0305206045604557,0.156480967637783,0.359324079221493,0.0180752488876629,0.466119704253062,0.00539578616451101,0.00459383901828218,0.0642996360587229,0.0347563808172949,0.0300802313340869,0.0173550942448846
7075,"heggarty2024",0.395168290364282,0.21322432172695,0.647421696855145,0.443234285512976,0.604831709635718,0.147954905876093,0.0376763116155547,0.022331137748829,0.119748724109291,0.0199293021173504,0.0457510129919926,0.188326551310938,0.309937373135086,0.212187621765841,0.289548453788134,0.0708298085968307,0.0180366167959253,0.0106904884507421,0.0573267858754134,0.00954066812507383,0.021902183466953
7076,"heggarty2024",-0.00183758262887879,-0.137757773606515,1.67080736625387,0.381267300554265,1.00183758262888,0.00629263991470245,0.00569675445892429,0.0339997268487546,0.0200219009263664,0.0104171079583817,0.00773970203339231,0.0268214417581753,0.53242980510999,0.121496995182672,0.319251757949163,0.00200525153951428,0.00181536299610955,0.0108345631611997,0.00638030273475408,0.00331958002586887,0.00246638130072879
7077,"heggarty2024",0.166838443113166,-0.149131381762439,0.0730226074909234,0.0772479661440488,0.833161556886834,0.0577710735889465,0.0347840717392735,0.0753147367291453,0.123903323124978,0.0115022110450391,0.0754425033546545,0.278029516317358,0.053608343284469,0.0567103206714707,0.611651819726702,0.0424116811393446,0.0255361527436876,0.055291072171824,0.0909615817402293,0.00844415858896176,0.0553848699333111
7078,"heggarty2024",-0.00472152121629921,-0.10561463159021,0.130477895150794,-0.0567815506337463,1.0047215212163,0.0722825996611721,0.0193226611334654,0.0042857141295409,0.0186131846992958,0.00578949468938857,0.00751732687689457,0.101195509899992,0.103307063348955,0,0.795497426751053,0.0572304074463635,0.0152988931610087,0.00339325324465351,0.0147371587243469,0.00458388521629567,0.00595191210732389
7079,"heggarty2024",0.0482405361059203,0.0800711767497076,0.0398965767745715,-0.00374547851394679,0.95175946389408,0.013436240410708,0.0211815131253564,0.0108874305630259,0.0480641927540561,0.0335884584027443,0.0215882339350883,0.130433000697699,0.0349846571043983,0,0.834582342197902,0.0117820199511572,0.0185737232001119,0.00954701018956028,0.0421467062700999,0.0294531710458503,0.0189303700409196
7080,"heggarty2024",-0.163842588279218,-0.0243551139772415,0.17598627318618,-0.00538747691281291,1.16384258827922,0.0758699540285543,0.123820368066997,0.0234934828975672,0.0317544252640518,0.0248981875855232,0.0307604399416946,0.188191964147028,0.106630835386022,0,0.705177200466951,0.0459699295422041,0.075023290429139,0.0142348017384547,0.0192401420395254,0.0150859183149672,0.0186378820827374
7081,"heggarty2024",0.246853106812671,-0.0900566587222083,3.47625536298801,0.509100798076029,0.753146893187329,0.0460419564989166,0.154769579067855,0.0116196036350842,0.30129614684032,0.0108764281487153,0.0057925476672812,0.100665476798256,0.659768796940081,0.0966237476809369,0.142941978580726,0.00873843923305659,0.0293741766130643,0.00220531897422248,0.0571838877085987,0.00206426949846258,0.00109938477085159
7082,"heggarty2024",0.104579040065972,0.100749881981766,0.688204724928321,0.43738649961387,0.895420959934028,0.0396671883867517,0.0540418193325983,0.0708140896507771,0.22775190941576,0.0106803281205134,0.0398428974724594,0.179720902773058,0.279325357267861,0.177524413656863,0.363429326302218,0.0160999353340606,0.0219342441946405,0.0287416958570893,0.0924388937792027,0.00433488228130242,0.0161712513267627
7083,"heggarty2024",-0.00594120777693119,-0.0864903074129551,-0.0745703044199673,0.00674404453878077,1.00594120777693,0.0624056222001366,0.176330001635778,0.0677667095202734,0.076167066648771,0.0386641521409264,0.0680096265356521,0.325788226496249,0,0.00448995797922624,0.669721815524525,0.0415475638891225,0.117394583216182,0.045116795475889,0.0507094706577565,0.0257412918044807,0.0452785214528184
7084,"heggarty2024",0.0535829649397443,0.0558894618552549,1.45397604873662,-0.0322063368101636,0.946417035060256,0.0874476858160959,0.0710115285403346,0.00544958924072338,0.0562987782238359,0.0183270154794568,0.00312764439336744,0.0914675174899798,0.550320061320663,0,0.358212421189357,0.0330983552737885,0.0268773813535287,0.00206263252254616,0.0213087052646711,0.00693665091061372,0.00118379216483158
7085,"heggarty2024",0.25372819882126,-0.00151267938206963,0.652264214355817,0.664656235210792,0.74627180117874,0.029053333422014,0.0647967894699021,0.125801057594813,0.011973782892926,0.0673065024890049,0.0233720707828781,0.135109664982156,0.273429204026214,0.278623940030547,0.312837190961083,0.0121791593913137,0.0271628186527254,0.0527358120938417,0.00501941062155136,0.0282148905248965,0.00979757369782752
7086,"heggarty2024",-0.144635171123197,-0.187296223888846,0.109398089974874,0.0534619923605922,1.1446351711232,0.0360347280387926,0.134724880814656,0.129815648129894,0.0707871763719374,0.0329906812183983,0.0778809948025638,0.269445268871485,0.0611254931871872,0.0298715512360535,0.639557686705274,0.0201341771482779,0.0752766779225513,0.0725336751050829,0.0395518885938216,0.0184333351754041,0.043515514926347
7087,"heggarty2024",-0.252844167762111,-0.390189079392257,0.310283518132403,0.00659064747596861,1.25284416776211,0.0184871399478244,0.0585989508581329,0.0712223160866087,0.0479419868696387,0.178766994542744,0.225917310553922,0.276845119849341,0.142944779071268,0.00303625101668125,0.57717385006271,0.00851685629777384,0.0269960007371373,0.0328114696495093,0.0220864348920842,0.0823563194524657,0.10407803882037
7088,"heggarty2024",-0.167032728864256,-0.198151496333999,1.07998011518378,0.23512480801997,1.16703272886426,0.0451563668319126,0.0453747613460413,0.0167212949005436,0.0015060935062457,0.0655825371024828,0.0317605158560604,0.0766678679063957,0.401742563125188,0.0874642428135691,0.434125326154848,0.0167977486783511,0.0168789894073654,0.00622016625831428,0.00056025278336017,0.0243960941330116,0.0118146166459931
7089,"heggarty2024",-0.0399660086625779,-0.257230511897412,0.619000369875797,0.584709570974583,1.03996600866258,0.171163990918995,0.525576186131585,0.0812435573985466,0.0118216234114831,0.0427659217786956,0.0607031003464306,0.284758853713979,0.197325524747699,0.186394271364833,0.331521350173489,0.0545638192959046,0.167543674883617,0.0258988982498584,0.00376850831851466,0.0136329610885263,0.0193509918775575
7090,"heggarty2024",0.0140379221641135,0.109404397876736,0.0218173040298119,-0.00398932364505007,0.985962077835887,0.147492046886937,0.00315787861138806,0.0505388362600242,0.106685258669503,0.0235594324124626,0.0775771043797844,0.288688214065113,0.015399109937137,0,0.69591267599775,0.104102974490423,0.00222889683521167,0.0356713686805505,0.0753006890621651,0.0166287406216793,0.0547555443750836
7091,"heggarty2024",-0.285776548728331,-0.115028529996356,-0.246134085745053,-0.173868372513442,1.28577654872833,0.0306868308948268,0.0880884776485644,0.165887196406295,0.0365682606810806,0.0513615711793671,0.0572115411160074,0.250529716502009,0,0,0.749470283497991,0.017887142111238,0.0513461661604198,0.0966945028218752,0.0213153869751195,0.0299383056494334,0.0333482127839234
7092,"heggarty2024",0.369420017993491,0.33341781999082,1.02182478556557,3.38801743001404,0.630579982006509,0.0267860387938497,0.0587469832671955,0.0678398590809886,0.0609159150830007,0.296040446955929,0.0430802809014852,0.0989321008600832,0.182669918654753,0.605670245118392,0.112727735366772,0.00478849563709431,0.0105021005618796,0.0121276188588585,0.0108898368978519,0.0529226586865618,0.0077013902178371
