"sample_id","tree","R2_full","partial_R2_phylo","prop_residual","prop_phylo_norm","prop_residual_norm","shapley_longitude_norm","shapley_norm_longitude_norm","shapley_latitude_norm","shapley_norm_latitude_norm","shapley_log_n_speakers_norm","shapley_norm_log_n_speakers_norm","shapley_n_segments_norm","shapley_norm_n_segments_norm","shapley_delta_norm","shapley_norm_delta_norm","shapley_longitude_norm_latitude_norm","shapley_norm_longitude_norm_latitude_norm","shapley_longitude_norm_log_n_speakers_norm","shapley_norm_longitude_norm_log_n_speakers_norm","shapley_longitude_norm_n_segments_norm","shapley_norm_longitude_norm_n_segments_norm","shapley_longitude_norm_delta_norm","shapley_norm_longitude_norm_delta_norm","shapley_latitude_norm_log_n_speakers_norm","shapley_norm_latitude_norm_log_n_speakers_norm","shapley_latitude_norm_n_segments_norm","shapley_norm_latitude_norm_n_segments_norm","shapley_latitude_norm_delta_norm","shapley_norm_latitude_norm_delta_norm","shapley_log_n_speakers_norm_n_segments_norm","shapley_norm_log_n_speakers_norm_n_segments_norm","shapley_log_n_speakers_norm_delta_norm","shapley_norm_log_n_speakers_norm_delta_norm","shapley_n_segments_norm_delta_norm","shapley_norm_n_segments_norm_delta_norm"
169,"heggarty2024",0.268976650890473,0.214670343742809,0.731023349109527,0.136986313482247,0.466483594883207,0.0684958950972744,0.0437088793656744,0.0136201251388275,0.00869132968907051,0.0150557245755202,0.00960742024466831,0.00778250203290752,0.0049662018729208,0.0148743324552707,0.00949166956660782,0.120783322805148,0.0770747455504908,0.0287937519176205,0.0183739861675668,0.030199561785289,0.019271067282132,0.135900700266053,0.086721507985315,0.0531544277231401,0.0339191197633482,0.0199924266186008,0.0127576486453462,0.0455129005609926,0.0290428773487409,0.0134626418490977,0.00859083581125298,0.0217148933847139,0.0138567961487769,0.0320564716966929,0.0204560061926347
170,"heggarty2024",0.405354917338272,0.977651489244037,0.594645082661728,0.35435431622093,0.215531867929408,0.0325818486025397,0.0118094421271677,0.18647393395747,0.0675883421520899,0.0237135818561674,0.00859509771758118,0.028776325979922,0.0104301128041554,0.128638712886933,0.0466256980591694,0.232580482259924,0.0842998744074714,0.0328640958306807,0.0119117439439537,0.0478023820035976,0.0173261950449383,0.0271280529067117,0.00983268858475958,0.0232448740015471,0.00842521238200031,0.0420151657605806,0.0152285916789344,0.0398268660290673,0.0144354322928157,0.0711902732960161,0.0258032447072701,0.121714278542838,0.0441159047184811,0.148118494458211,0.0536862352288727
171,"heggarty2024",0.681370548847451,3.75902059851114,0.318629451152549,0.598143634641084,0.0507010198591532,0.239059095606093,0.0380396096782428,0.491954773695854,0.0782809268281263,0.150323105967895,0.0239197436187998,0.0354116176775617,0.00563477457786919,0.058534200242909,0.00931409082939581,0.173860177504853,0.0276650142681543,0.0788965479556159,0.0125541924333956,0.295110372830535,0.0469586123297799,0.0225915160299441,0.00359481177505525,0.341207075531242,0.0542936211640732,0.168563720250654,0.0268222303275708,0.0460248284747948,0.0073235720492061,0.050490958108558,0.00803423243052337,0.0291870271575608,0.00464430402837009,0.0256130766945763,0.00407560916120084
172,"heggarty2024",0.881005747706677,2.94301164742846,0.118994252293323,0.563640408540437,0.0227895696692798,0.458978677991244,0.0879027882204886,0.285698231564255,0.054716422240076,0.0799611254816767,0.0153140139534365,0.0573743814324614,0.0109882405047918,0.27832434010679,0.0533041875323915,0.188393447876239,0.0360807814063829,0.0521264092186357,0.00998315810724364,0.0814457148813928,0.0155983399011445,0.0796201262925589,0.0152487063891819,0.127556455080314,0.024429387670368,0.119624684268366,0.0229103088910497,0.0536035591956577,0.0102660592698169,0.0674203620563103,0.0129122290244985,0.139533782147709,0.026723264260149,0.0897676090524968,0.0171921344192633
173,"heggarty2024",0.836649613777931,4.2840917384123,0.163350386222069,0.577240028545666,0.0220098885279049,0.349861759098724,0.0471404965487572,1.06946830135669,0.144100535305672,0.127754663992838,0.0172137083874394,0.0515226906389638,0.00694218546921385,0.0956241082215249,0.0128844259950193,0.163194999554504,0.0219889516736315,0.215767701327743,0.0290726160126108,0.174893204049486,0.023565171864266,0.232535581550461,0.0313319260949852,0.0373910378386049,0.0050380815975027,0.163183906576678,0.0219874570018952,0.0620200000903103,0.00835659663903479,0.0536562211392983,0.00722965811968808,0.0833966670889003,0.011236896273573,0.0939687017402439,0.0126613759431398
174,"heggarty2024",0.63295053129095,1.45725928914644,0.36704946870905,0.465457516570354,0.117237841910654,0.0765424299969409,0.0244481195927076,0.127932009689605,0.0408622651874508,0.0206907310105388,0.00660874584497009,0.0197356065022756,0.00630367324399728,0.0336746603728684,0.0107558921773532,0.196165037583102,0.062656311002033,0.0777619970096793,0.0248376567445846,0.0385421036640134,0.0123105832904703,0.0924259175573975,0.029521402521442,0.135330030508865,0.0432252382175186,0.048967914210769,0.0156406508504914,0.0268502622106052,0.00857613772709685,0.160874467361524,0.0513842873504914,0.217777119580596,0.0695593419790122,0.0332314741443119,0.010614335789373
175,"heggarty2024",0.407976666709094,0.325508727203261,0.592023333290906,0.215824205941079,0.392533149276559,0.0434045259377447,0.0287787901272247,0.016770513374885,0.0111194644870417,0.0148937270608339,0.0098750864347806,0.00906406413032096,0.00600980643540158,0.0314607213039504,0.0208596102847919,0.121060713887579,0.080267686430206,0.034396272310491,0.0228059880990818,0.0267040575476722,0.0177057680300913,0.0384825729009944,0.0255153550268423,0.040813403283347,0.0270607809230288,0.0642421979364242,0.0425949297171392,0.0347507329511824,0.0230410084838558,0.0599946745976177,0.0397786662034373,0.0206178161209555,0.0136703670920802,0.0340242700942437,0.0225593370073593
176,"heggarty2024",-0.301216275820577,0.494277323323695,1.30121627582058,0.129662780151159,0.341345459197491,0.502449295636866,0.13180651727897,0.481053684469471,0.126193849458519,0.07361679570553,0.0193117465572011,0.32317450372233,0.0847777202175354,0.0329844350733708,0.00865274078238021,0.220673005086256,0.0578887073988958,0.104771421293925,0.0274844770826399,0.0363146669734938,0.00952635384602311,0.0242267334915415,0.00635535046878384,0.04331965607714,0.0113639586060386,0.048207303484308,0.0126461253600189,0.0426045819425772,0.0111763746406685,0.0329311232916856,0.00863875560947841,0.0157709075805234,0.00413715059523068,0.0344299230542036,0.00903193274896599
177,"heggarty2024",0.169918135704342,-0.0593751485398981,0.830081864295658,0,0.534684297168904,0.0381879951873209,0.0245982019910141,0.0868397884719553,0.0559364964620955,0.0303778262091767,0.0195674033547943,0.0468256115806219,0.0301619879850445,0.0480690283452194,0.0309629155169704,0.0813386216639165,0.0523930055910343,0.0228703776970938,0.0147315973892937,0.0684188531961102,0.044070938069832,0.00859267151558037,0.00553483545145245,0.0375620253715397,0.0241949932890822,0.102443407963473,0.065987324795988,0.0441514322446153,0.0284394570392689,0.0684532093111272,0.044093068025926,0.0124590874656165,0.00802532703273991,0.0257991972096394,0.0166181508365598
178,"heggarty2024",-0.42526234328775,0.144895564093273,1.42526234328775,0.0493903299659453,0.485827001423616,0.165507528356872,0.0564162987911198,0.483000156516508,0.164639526773898,0.0974208680947174,0.033207702740089,0.0160924892480439,0.00548542226884649,0.0539427865005129,0.018387395371385,0.0727989287263536,0.0248148598161872,0.0291652126683199,0.00994150156514117,0.0368513895575833,0.0125614769599225,0.0831034830729813,0.0283273575418203,0.0161609334786068,0.00550875274934063,0.0940439083473995,0.0320566036209028,0.0880253333562456,0.030005061142028,0.0503778593494986,0.0171722240899522,0.033947770411158,0.0115717247295156,0.0430862972896662,0.0146867604502892
