"sample_id","tree","Intercept","longitude_norm","latitude_norm","log_n_speakers_norm","n_segments_norm","delta_norm","longitude_norm.latitude_norm","longitude_norm.log_n_speakers_norm","longitude_norm.n_segments_norm","longitude_norm.delta_norm","latitude_norm.log_n_speakers_norm","latitude_norm.n_segments_norm","latitude_norm.delta_norm","log_n_speakers_norm.n_segments_norm","log_n_speakers_norm.delta_norm","n_segments_norm.delta_norm"
7576,"heggarty2024",-5.16286071320017,-0.290317449477918,0.396192758508774,0.250104502518693,0.401467686014522,0.650176869760803,-0.349367052862305,0.102474321155748,-0.098106667602777,-0.611224505908544,0.138404593313577,0.153911059558024,-0.164707437060722,0.377853344940914,0.350218608676122,0.423632212396166
7577,"heggarty2024",-5.1436311319848,-0.29779201672442,0.407715561505464,0.263338703964258,0.416456947012842,0.684167810736851,-0.346757811123144,0.12464703173088,-0.113706306411861,-0.591058025438378,0.171577760230636,0.141892230069633,-0.135109992441701,0.367936121305336,0.393162013273626,0.419166153624521
7578,"heggarty2024",-5.15263344766314,-0.300067893041071,0.418308431549227,0.273421432120972,0.415157494086659,0.6869915005522,-0.35434619402801,0.139965446562742,-0.112125731188699,-0.57350216955834,0.181933884854375,0.136860334417871,-0.123849904145241,0.3577158353798,0.409039417180494,0.404175946179554
7579,"heggarty2024",-5.19752841961293,-0.312313786361759,0.411352753274312,0.272053934745443,0.404893304028219,0.68195760194168,-0.372311888476997,0.12473267159775,-0.108294613070285,-0.579852608152049,0.17159576826223,0.140885569475102,-0.112749605103089,0.352022694506511,0.397006670708284,0.400872515610749
7580,"heggarty2024",-5.19944505261532,-0.283866741764782,0.418120114669624,0.277502996093962,0.401792869422103,0.71454615224784,-0.383894857264254,0.0982314369641412,-0.0894553353600347,-0.606909650660687,0.144685398432891,0.178539420333717,-0.126505088115346,0.371638218096963,0.394497099773248,0.431806250772796
7581,"heggarty2024",-5.19657643849742,-0.302978505843521,0.402029026097391,0.275846258191877,0.407141776072658,0.715587240642626,-0.386735458083805,0.108285922082627,-0.0932067536116271,-0.599327053223115,0.15780637630411,0.170586411066988,-0.111994112505804,0.36157055431708,0.399256226509929,0.423265617615182
7582,"heggarty2024",-5.21598934197198,-0.279926110783536,0.415808543756874,0.262938639743862,0.404402202360877,0.712962237703053,-0.38602894129396,0.0905778252793026,-0.0661178777533734,-0.58223529402711,0.169340757710512,0.176377692186588,-0.1128565322175,0.364031752011607,0.413379212836033,0.421078916705434
7583,"heggarty2024",-5.2193585486065,-0.279998780050036,0.415682605570997,0.259528522445128,0.406244833984538,0.704530585291966,-0.381535808074648,0.0825053852671068,-0.0598726206800715,-0.579433742106409,0.161342829584848,0.177821246786631,-0.129870273896921,0.363778124337658,0.409551627365688,0.416989554496055
7584,"heggarty2024",-5.20949219606478,-0.276844429406158,0.413183308121066,0.271350378571404,0.400387688594513,0.695494755361656,-0.360814849683065,0.0616335477814468,-0.0796872004017423,-0.604513870550132,0.133381092499695,0.164140542135591,-0.181418592170573,0.38155421677349,0.416090286423115,0.428137562171649
7585,"heggarty2024",-5.23780346588729,-0.291460799127644,0.405600202654342,0.26724263196535,0.390341894610154,0.667490377870436,-0.356386691443776,0.0920190998835668,-0.090905358421014,-0.622070467938136,0.144620857793224,0.15249659889815,-0.195245124170988,0.359110687803883,0.396458598346667,0.414283638566586
7586,"heggarty2024",-5.23499877510002,-0.277726269924279,0.409948146198343,0.259218480645879,0.394329947059292,0.663870532775095,-0.353153211154736,0.0846319323968138,-0.0788100595954168,-0.61385618617785,0.152164443163333,0.161427565348813,-0.17609930247791,0.365647205045498,0.399040099143212,0.396679890579466
7587,"heggarty2024",-5.25500877224527,-0.300901186580085,0.437169805680541,0.26188777637445,0.402049786793867,0.675309256767835,-0.379176199787726,0.0870446539484582,-0.0674008469168658,-0.604351974261078,0.15655823387363,0.183326294956069,-0.159842043264887,0.373517813802462,0.409777397445361,0.407123262162992
7588,"heggarty2024",-5.25287559526766,-0.30402707247696,0.450398500195929,0.266181943407109,0.402170394973855,0.683592992096574,-0.389068976590289,0.0845219505466641,-0.0678805259905599,-0.605407551545491,0.159124346245383,0.182291288481634,-0.161022037186635,0.371457383745322,0.419172841213084,0.411814012040967
7589,"heggarty2024",-5.27240251169566,-0.309405928115278,0.4366223168514,0.254610448586741,0.397023911319135,0.665949354493208,-0.389319499218377,0.0910939063858353,-0.072366778573604,-0.599736752638898,0.162096299006814,0.169749798480908,-0.163821306363283,0.356404708552835,0.397878279999022,0.397745066220595
7590,"heggarty2024",-5.2706531323281,-0.306356164540687,0.452175127704753,0.265169898234852,0.398963425208032,0.694114430849669,-0.388090249720751,0.0803558768967051,-0.0656818440790595,-0.588855624491753,0.164788759656019,0.180627933818175,-0.131017212361427,0.369186586454147,0.428259854576468,0.405880254614026
7591,"heggarty2024",-5.25447598219455,-0.299238736726722,0.45939132623374,0.258238862017579,0.392014285699899,0.670811339788359,-0.384021157941868,0.0890790032590457,-0.0794837210423751,-0.578765810045818,0.169680989523109,0.150212307647198,-0.0899347811625854,0.350147280818167,0.418168135015765,0.369141030292755
