"language","node","height","height_95%_HPD","height_median","height_range","length","length_95%_HPD","length_median","length_range","posterior","rate","rate_95%_HPD","rate_median","rate_range","glottocode","n_speakers","latitude","longitude","Hittite","log_speakers","taxonset"
"Swedish",11,1.74280603758748,"1.4718070442247546,2.0317618715188157",1.72708634445173,"1.348872934916531,2.593301597365695",0.376112556125099,"0.08163361824222459,0.7444682853077431",0.346078543740213,"0.03311822131531894,1.4779995289113987",1,0.0034779321830599,"9.574703726821529E-4,0.007090383553451663",0.003057706411447,"5.386410534209325E-4,0.020911331423437766","swed1254",8,59.800634,17.389526,2519.48724123459,2.07944154167984,"germanic"
"Dutch",12,2.09872601755039,"1.734325520380934,2.5156756659876116",2.07556500431731,"1.529937240089481,3.3154103041899567",0.277705217518311,"5.528916923935867E-5,0.6139061809220001",0.244919374934282,"5.528916923935867E-5,1.4527585994433583",0.854249189773136,0.00341661279333708,"7.764458235750399E-4,0.007256723763951696",0.00298723756510038,"4.8450897238369746E-4,0.02000306848247068","dutc1256",21,52,5,2646.40308537777,3.04452243772342,"germanic"
"German",13,1.77395808601611e-15,"0.0,3.552713678800501E-15",1.77635683940025e-15,"0.0,7.105427357601002E-15",0.205578922895213,"0.07238581790824838,0.36919961391553713",0.193917453057501,"0.027744735975909762,0.6898476917843785",1,0.00255621626508293,"8.369395097981319E-4,0.004792103733597717",0.00232816000829523,"5.092412942401511E-4,0.01470738900725217","stan1295",83,48.649,12.4676,2023.30467812331,4.4188406077966,"germanic"
"English",14,1.76660190897142e-15,"0.0,3.552713678800501E-15",1.77635683940025e-15,"0.0,7.105427357601002E-15",0.430207611523914,"0.21635571304475754,0.6676752930633967",0.418097252549312,"0.14411900149134738,1.0050341263365485",1,0.00369720183763828,"0.0016975338120395575,0.006109917918015622",0.00349914083213027,"0.0010803214564812354,0.012618997179275516","stan1293",550,53,-1,3067.32852518812,6.30991827822652,"germanic"
"Belarusian",15,1.77491758736977e-15,"0.0,3.552713678800501E-15",1.77635683940025e-15,"0.0,7.105427357601002E-15",0.355712058504759,"0.0947457763014814,0.684012384189721",0.326397955474672,"0.03997450987984763,1.0858026610220346",1,0.00197344670514495,"5.919001925971153E-4,0.003948149615767625",0.00172786053629612,"4.402787760842073E-4,0.01573905235224952","bela1254",3,53.2307,25.6038,1633.65411617789,1.09861228866811,"slavic"
"Ukrainian",16,1.76316369578749e-15,"0.0,3.552713678800501E-15",1.77635683940025e-15,"0.0,8.881784197001252E-15",0.373833432539725,"0.14177436095979257,0.6103355493865976",0.369800812943856,"0.07614153497886811,0.9284222693522661",1,0.00174803741931374,"6.291542236721172E-4,0.003229440736299436",0.00159753363123603,"4.316276312444574E-4,0.008242680011570707","ukra1253",32,49.796,29.945,1159.07027464625,3.46573590279973,"slavic"
"Russian",17,0.996112380100853,"0.8258550683370238,1.1864830436696172",0.987920688377152,"0.699993615752998,1.51297174617474",0.0937735249648977,"0.01084244818209612,0.19908332550228103",0.0828847856796955,"0.0026559225728686187,0.5454401140747223",0.995768815268275,0.00370932441768519,"0.0010323991842054112,0.007759281152976509",0.00325595580946318,"4.8203936515855E-4,0.01871791632889649","russ1263",150,59,50,2361.71396594678,5.01063529409626,"slavic"
"Czech",18,1.75572756029666e-15,"0.0,3.552713678800501E-15",1.77635683940025e-15,"0.0,7.105427357601002E-15",0.452558910514021,"0.20387194849432788,0.7082229539949125",0.439035740962961,"0.128115535900303,1.0950475920695988",1,0.00244066273450349,"0.0010617283462066856,0.004166747836133175",0.00230339517386712,"7.137055718918112E-4,0.00887397968513874","czec1258",10,49.873398,15.10437,1902.96809814313,2.30258509299405,"slavic"
"Slovak",19,1.75996535794197e-15,"0.0,3.552713678800501E-15",1.77635683940025e-15,"0.0,5.329070518200751E-15",0.804128678310367,"0.4791453272974131,1.144550673084475",0.795459391407666,"0.24691155794293884,1.5830829644687467",1,0.00168428958840058,"8.501384744317661E-4,0.0026624068417251986",0.00161498816550326,"5.224983703098715E-4,0.006009183529509822","slov1269",4,48.545705,18.78479,1597.6087730306,1.38629436111989,"slavic"
"Polish",20,0.804128678310369,"0.4791453272974149,1.144550673084475",0.795459391407668,"0.24691155794294062,1.5830829644687494",0.557406664165237,"0.19400203254341708,0.9146702207996249",0.547172417240979,"0.067434712658347,1.5698917810478719",1,0.00301019780100246,"0.0011727862945029048,0.005523486324592119",0.002730792167279,"6.851791261448465E-4,0.017162781523006425","poli1260",38,51.8439,18.6255,1819.06667964224,3.63758615972639,"slavic"
