"sample_id","tree","Intercept","log_n_speakers_norm","n_segments_norm","delta_norm"
23,"heggarty2024",-5.93758832835366,-0.0701225106643674,-0.0145597444210009,-0.0158026109274591
24,"heggarty2024",-5.83794829178115,-0.0548832620549111,-0.0495440761260585,-0.211139722917224
25,"heggarty2024",-5.95302451763795,-0.0689055707000465,0.0711543127668536,-0.0696436617418835
26,"heggarty2024",-6.27736933992304,-0.186252983265468,-0.062519742674741,-0.215672103324497
27,"heggarty2024",-5.88060706190361,-0.0554990170944782,-0.0902511751577475,-0.0152583804764656
28,"heggarty2024",-6.79836571463414,-0.244943380115761,0.0504291433863793,-0.213464804300271
29,"heggarty2024",-5.98769409583752,0.0242956547866291,0.0347582952734539,-0.128714737727885
30,"heggarty2024",-5.94697279278008,0.0282910398982232,-0.144851230524216,-0.16528264471496
31,"heggarty2024",-5.79599410933119,-0.0665690720284694,0.00715177721462145,-0.0978901592765611
32,"heggarty2024",-6.30969366543054,-0.064071579164275,-0.125634648437141,0.028031620295692
33,"heggarty2024",-6.04074321490396,-0.184262852250262,-0.0677740347268466,-0.261264562017698
34,"heggarty2024",-5.86123059562433,-0.0752467974537136,-0.0320564984865065,-0.224837519996771
35,"heggarty2024",-5.82556990463689,0.0074480387503135,-0.129825902707651,-0.062429406160627
36,"heggarty2024",-5.82386079332044,-0.0816989320283232,-0.0755486176263869,-0.0767421460945131
37,"heggarty2024",-5.98323713497924,0.0743400811349923,-0.0509511800692458,-0.116507780331354
38,"heggarty2024",-5.79682257770148,0.0581670595185133,0.0573434484662457,-0.148781871816924
39,"heggarty2024",-5.53610677664613,-0.0412164093740651,0.0453854021567112,0.0468113081575862
40,"heggarty2024",-6.17420965839959,-0.100440997220056,-0.0636710212101129,-0.058591688893844
41,"heggarty2024",-6.06894502854454,-0.068049895935594,0.0638322529978167,-0.24002192938705
42,"heggarty2024",-6.17219943777046,-0.134769654593229,0.104178690642881,0.00954084332285199
43,"heggarty2024",-5.87116009970926,-0.165454347713409,0.083654148906691,-0.0677159389662636
44,"heggarty2024",-5.813108451403,-0.0634764788350035,-0.115892052311892,-0.214140953654561
45,"heggarty2024",-5.64629869682817,-0.125936199323716,0.00800255493768648,0.0387658585582096
46,"heggarty2024",-6.7446049157608,-0.069600371962321,0.0146298610172113,0.00116367313641409
47,"heggarty2024",-5.8850813717733,-0.0538426287377898,-0.0307815892291264,-0.129991933186665
48,"heggarty2024",-5.88347036657334,-0.0676050228719784,-0.0834862433449939,-0.0236837112726969
49,"heggarty2024",-5.81842858318383,0.0882757900171017,0.0305637172617828,0.0734228640599037
50,"heggarty2024",-6.12741813746607,-0.0322673674784685,-0.0221730592343309,-0.0588269029584201
51,"heggarty2024",-5.90292609347562,-0.0592209844440233,-0.0518983354673557,-0.153936462893139
52,"heggarty2024",-6.01655650077118,0.0314779786157426,-0.083216059501418,-0.0752094014067859
53,"heggarty2024",-6.19928792171845,-0.0144408244273383,0.145924994172809,0.115685224327563
54,"heggarty2024",-5.88905601202211,-0.0268006063520977,-0.0527207812663418,-0.125466032605945
55,"heggarty2024",-5.95486390003963,-0.138489807854132,0.014550208432298,-0.160755954019887
56,"heggarty2024",-5.33518986757655,0.0866439011510867,-0.0415918951527684,-0.0137067500871457
57,"heggarty2024",-6.25575736824944,0.0119937590851183,0.133711628286095,-0.060801131302087
