"sample_id","tree","R2_full","partial_R2_phylo","prop_residual","prop_phylo_norm","prop_residual_norm","shapley_longitude_norm","shapley_norm_longitude_norm","shapley_latitude_norm","shapley_norm_latitude_norm","shapley_log_n_speakers_norm","shapley_norm_log_n_speakers_norm","shapley_n_segments_norm","shapley_norm_n_segments_norm","shapley_delta_norm","shapley_norm_delta_norm","shapley_longitude_norm_latitude_norm","shapley_norm_longitude_norm_latitude_norm","shapley_longitude_norm_log_n_speakers_norm","shapley_norm_longitude_norm_log_n_speakers_norm","shapley_longitude_norm_n_segments_norm","shapley_norm_longitude_norm_n_segments_norm","shapley_longitude_norm_delta_norm","shapley_norm_longitude_norm_delta_norm","shapley_latitude_norm_log_n_speakers_norm","shapley_norm_latitude_norm_log_n_speakers_norm","shapley_latitude_norm_n_segments_norm","shapley_norm_latitude_norm_n_segments_norm","shapley_latitude_norm_delta_norm","shapley_norm_latitude_norm_delta_norm","shapley_log_n_speakers_norm_n_segments_norm","shapley_norm_log_n_speakers_norm_n_segments_norm","shapley_log_n_speakers_norm_delta_norm","shapley_norm_log_n_speakers_norm_delta_norm","shapley_n_segments_norm_delta_norm","shapley_norm_n_segments_norm_delta_norm"
1074,"long_v3_CCD0.0.25",0.9868973338501,0.857736834917989,0.0131026661498997,0.668176782968998,0.0102069737009649,0.121496836393459,0.0946460056015363,0.0501899079804153,0.039097925944932,0.00385989898604767,0.00300686035866609,0.00496524031114882,0.00386792097845327,0.0279932928538549,0.0218067682328067,0.0328536992110302,0.0255930235869562,0.0307787509290138,0.0239766393867401,0.0073270992540927,0.00570780851280837,0.0144173056233404,0.0112310775267166,0.0060896915149264,0.0047438681890188,0.0165050602602597,0.0128574378742452,0.0102642551938208,0.00799585226584769,0.0221079237409231,0.0172220671445762,0.0116304719835736,0.00906013480829267,0.0523785183950512,0.0408028529184409
1075,"long_v3_CCD0.0.25",0.816611268656988,0.449491940665741,0.183388731343012,0.327780197346834,0.133731417879857,0.0688775531244258,0.0502271473932392,0.0382374686653162,0.0278836701868279,0.0907008062471123,0.0661411818133213,0.0108613578942936,0.00792036010428404,0.105293144966786,0.0767822617361385,0.015100395983582,0.0110115673446402,0.0346306046495904,0.0252534592933316,0.0326379418625245,0.0238003622686713,0.0619173257826597,0.0451515843291186,0.0145423688854808,0.0106046407330761,0.025890962872629,0.0188803049668042,0.0209447512826436,0.0152734100162889,0.0124785792642557,0.00909967633187778,0.0815735745630772,0.0594853877223477,0.124753713619455,0.0909733705333421
1076,"long_v3_CCD0.0.25",0.955219103046779,1.80804302161586,0.0447808969532212,0.785600260203339,0.0194574376151453,0.0426323460015464,0.0185238856108421,0.0739298920953719,0.0321227657597566,0.0291815999299676,0.0126794950253141,0.0714931308387506,0.0310639854904994,0.0143400740854954,0.00623080634598629,0.0570657516780587,0.0247952448205111,0.00715627847098977,0.00310942503119904,0.0173360382381157,0.00753256199544807,0.010643272293837,0.00462453458434893,0.00710235793948525,0.00308599639422867,0.00898678845444476,0.00390478725550156,0.0158975464090564,0.00690753286632956,0.0189402336079225,0.00822958982325434,0.0330181640827729,0.0143464939632249,0.0409322696818447,0.0177851972150707
1077,"long_v3_CCD0.0.25",0.706580692469949,0.41735695286028,0.293419307530051,0.302575959386326,0.21272349213288,0.101514131562828,0.0735958405350329,0.0439291243177685,0.0318477908283458,0.0104852550988358,0.00760161319752282,0.0147493126927311,0.0106929749407722,0.0111939502882457,0.00811540391163117,0.0512240794346394,0.0371364964028912,0.0251254847986316,0.0182155050152898,0.0156927214849588,0.0113769286126722,0.0395678864948093,0.0286859752425502,0.00853338285436649,0.00618654244592195,0.0342447691886835,0.0248268150805146,0.0302856537999643,0.0219565307139716,0.104428385028606,0.0757086196136119,0.0200095932503743,0.0145065796392496,0.157586054210683,0.114246932300816
1078,"long_v3_CCD0.0.25",0.566884716837334,0.306777448638732,0.433115283162666,0.185497448246089,0.26188945823612,0.0515546307995926,0.0311732576857549,0.0250623381343211,0.015154307435655,0.018445358277296,0.0111532542812578,0.0120605531339262,0.00729258894585257,0.136187575601678,0.0823477992565292,0.0170020569727602,0.0102805411459552,0.0308036905264132,0.0186258997021023,0.0414735756940019,0.0250776010264629,0.0201508928000952,0.0121845305477458,0.0124157898900237,0.00750738801948627,0.0725504334193397,0.0438686752502581,0.0612968827368569,0.0370640520793845,0.0500917064989242,0.030288679220306,0.0980555494720833,0.0592907147971603,0.266765769301569,0.16130380412388
1079,"long_v3_CCD0.0.25",0.93086859586954,0.546786141903585,0.0691314041304599,0.569641500467584,0.0720210586193862,0.0464374388734621,0.0483784981558933,0.0140179742828851,0.0146039178612298,0.0198787630784572,0.0207096843896397,0.00450208789875095,0.0046902726849534,0.0776000698305949,0.0808437098657923,0.0101509261471991,0.0105752292504986,0.0062396293091195,0.00650044236606693,0.00788353736906538,0.00821306487445421,0.0186847999391498,0.0194658142509228,0.00394487530395937,0.00410976891162902,0.0162377556486027,0.0169164848613282,0.0130688134377312,0.0136150826172782,0.00568495234572132,0.00592258021212693,0.0451098606708079,0.0469954279180208,0.0545186147259873,0.0567974626931962
1080,"long_v3_CCD0.0.25",0.919546576657232,0.843824830441077,0.0804534233427678,0.441138687825234,0.0420598165924142,0.220162587234643,0.115097626115283,0.119831466543726,0.0626460540200521,0.0451391557382184,0.0235980587600012,0.0117689832440961,0.00615264405365265,0.163435010252031,0.0854413183475514,0.0530671098630697,0.0277426716625955,0.0281884595590259,0.0147364946053832,0.0175426970059145,0.00917105311307281,0.0159698243747221,0.00834877940932585,0.106763135513832,0.0558141308594356,0.0159235740242548,0.00832460043499307,0.0350694830536151,0.0183337882210629,0.0102759793441864,0.00537212449845081,0.0410331696841739,0.0214515121844955,0.104384543280165,0.0545706392969957
1081,"long_v3_CCD0.0.25",0.386491995022687,0.0135276653779375,0.613508004977313,0.00827799632939831,0.37542450019066,0.111330820091777,0.0681267679470904,0.0574232814506797,0.0351390797887409,0.0551643293697411,0.0337567572288708,0.0212676063447447,0.0130143053023778,0.0638298992690273,0.0390594871393421,0.0318628371966623,0.0194978543591386,0.0265482537785543,0.016245696592202,0.0446139588624683,0.0273006596027842,0.0211725581974395,0.0129561424048987,0.0111072056117827,0.0067968422277923,0.0615452899268214,0.0376614641087211,0.0555892552128513,0.0340167824787021,0.146742226522602,0.0897961014398657,0.0414078086900615,0.0253387172707415,0.257530462797963,0.157590845588673
1082,"long_v3_CCD0.0.25",0.40067623436931,0.0586497336302302,0.59932376563069,0.0358907415274808,0.366756556801145,0.164264260118596,0.100521617698884,0.0462289529209603,0.0282898369297462,0.0226211084323788,0.0138430015885553,0.0183402208323618,0.0112233097186981,0.0478759379903045,0.0292977104828664,0.0503442388236693,0.030808188736372,0.124166814550133,0.0759839605650388,0.0320043890627554,0.0195851060950808,0.026525436436258,0.0162322575757898,0.0244897663736618,0.0149865279956266,0.052576265901686,0.032174079116105,0.0139357231981904,0.00852797461039049,0.133082251045657,0.0814397675578367,0.0843162262534832,0.05159736789455,0.135373657371604,0.0828419951058339
1083,"long_v3_CCD0.0.25",0.889987998991588,0.610512445479313,0.110012001008412,0.499513994529556,0.0900105058902744,0.0966022180038955,0.0790387815233751,0.0797556584877552,0.0652551276432638,0.00846287867711458,0.00692422630288174,0.0255836877763,0.0209322679178203,0.103929338421503,0.0850337439771296,0.0240933409147049,0.0197128839075803,0.0196588456607211,0.0160846328302403,0.0216898476517231,0.0177463744129633,0.0135092801055793,0.0110531317071819,0.00934868964267783,0.00764898626000136,0.0105242807058422,0.00861084083355299,0.0133534900663016,0.0109256661568828,0.0148589648744064,0.0121574276723579,0.0411768051698042,0.0336903704169142,0.0191411226188627,0.0156610380180237
1084,"long_v3_CCD0.0.25",0.827919891353882,0.638163648819612,0.172080108646118,0.562052456625404,0.151556811453947,0.0106043712304,0.00933963084866786,0.0069482115037714,0.00611952647580448,0.00405497514719469,0.00357135469444448,0.00372919519744133,0.00328442919905335,0.0845924190334764,0.0745034240317417,0.0176963521012011,0.0155857799017313,0.0152053562555105,0.0133918750356304,0.0213522567215615,0.0188056595938172,0.0169312966200627,0.0149119694873902,0.00896031367366138,0.00789165337406916,0.0111286755364993,0.00980140350495661,0.00978400355685907,0.00861710510295573,0.00720867922600008,0.00634892926836566,0.0247541718761142,0.0218018421143731,0.0822224927906881,0.0724161492876474
1085,"long_v3_CCD0.0.25",0.832499531953358,0.460543766906455,0.167500468046642,0.330178790932146,0.120086528131087,0.0636267677667543,0.0456160972349334,0.0381563049968524,0.0273554948640916,0.0134863977532203,0.00966883676246291,0.00788411949755811,0.00565238144629378,0.210754226708061,0.151096553158739,0.0377851687327067,0.0270894152170043,0.0144091278090629,0.0103303719217407,0.0291546721744316,0.0209019318038717,0.0241072702317265,0.0172832853460434,0.0463545780815574,0.0332331032247955,0.0274652267274264,0.0196907134678057,0.0190313489330238,0.0136441924352217,0.0680769347093888,0.0488065665152694,0.0454062748791133,0.0325532338457714,0.121088811768783,0.0868125036927225
1086,"long_v3_CCD0.0.25",0.801372019024548,0.510786156534828,0.198627980975452,0.353617250895587,0.137510149178624,0.0965177827831165,0.0668192600242797,0.0476199283648927,0.0329672759153761,0.00491338066276144,0.00340153338210287,0.0152992878608457,0.0105916968281101,0.167247618955326,0.115785524876069,0.0564399140541947,0.0390733519170203,0.0269612666067787,0.0186652845935185,0.0132875943973608,0.00919900146410868,0.0170876038919129,0.0118297479979549,0.0248002195224489,0.0171691917193482,0.0294553493529988,0.0203919380529773,0.0174334473340833,0.0120691754093989,0.0919775655134314,0.063676067655351,0.0680201424604298,0.0470903439230999,0.0579852762757848,0.0401432061670724
1087,"long_v3_CCD0.0.25",0.607732850014907,1.84938438138597,0.392267149985093,0.644100055806071,0.136618052871701,0.0541869664960129,0.0188721330705125,0.0591034156655999,0.0205844245856629,0.0562107908810999,0.0195769867572293,0.113798563846163,0.0396335462014843,0.00727709774722327,0.00253445368754551,0.149943457160697,0.0522220205258691,0.0183116338514146,0.006377540820777,0.0196981809471186,0.00686044479180082,0.0121215624473813,0.00422167458933763,0.0104206034615276,0.00362926784645647,0.0172820185424208,0.00601894836987469,0.0233468563499538,0.00813119848380679,0.0141501181312956,0.00492817608376234,0.0442558936057574,0.0154133579952986,0.0295100894234529,0.0102777175128101
1088,"long_v3_CCD0.0.25",0.79622850773081,0.927225349216249,0.20377149226919,0.679921071116405,0.149422717361822,0.0105560340463144,0.00774058860834428,0.0125762297510182,0.00922196919027941,0.0025676929059605,0.00188285243969478,0.0188108491322682,0.0137937263055111,0.0692688800069122,0.0507938778088231,0.00470240993245329,0.00344820986700224,0.0049049159541098,0.00359670463288477,0.00943765362354158,0.00692049625904637,0.00313094023445764,0.00229587364022487,0.0153423388120831,0.0112503173552791,0.00860392917758857,0.00630913806140061,0.00363419831476375,0.00266490558407644,0.0120117899571541,0.00880807357197129,0.00214797905752029,0.0015750822847534,0.0550322977649785,0.0403543959124812
1089,"long_v3_CCD0.0.25",0.967506570353187,0.854669427274882,0.0324934296468128,0.636974584994069,0.0242169524307271,0.118607023617991,0.0883963521280294,0.026273927212506,0.0195816339607615,0.00695435104952814,0.00518299208127816,0.0206053622962834,0.0153569224292684,0.0848394774901839,0.0632298163954832,0.0373539277962126,0.0278394217653914,0.0368807299880076,0.027486753274063,0.0254450234775295,0.0189638622285139,0.00742511003568028,0.00553384294860425,0.0118037836334503,0.00879721438644438,0.0242693569564258,0.0180876524677889,0.0106259582946782,0.00791939568553217,0.0150669147678465,0.0112291857823801,0.0132817192509544,0.00989870157735673,0.0151682577594141,0.0113047154643083
1090,"long_v3_CCD0.0.25",0.954303831010946,0.900004446094397,0.0456961689890538,0.58960661750548,0.029936256145749,0.030396930809129,0.0199134922440582,0.00865958555918059,0.00567302636415226,0.0524504792558955,0.0343611076532018,0.00972770384309069,0.00637276691677386,0.19571494770122,0.128215842499599,0.0143083034569113,0.00937358747512962,0.0120330727576268,0.00788304919782313,0.0194958818385907,0.0127720490671135,0.0157786209524969,0.0103368148558313,0.0137995892050583,0.00904032102226547,0.0217607408554226,0.01425579269731,0.0403690745233001,0.0264463954425989,0.0044362649032266,0.00290626469158061,0.120536719190104,0.0789654402212045,0.0212804945049383,0.013941176000129
1091,"long_v3_CCD0.0.25",0.674006320721867,0.591580337363276,0.325993679278133,0.298492084369794,0.16448574550806,0.18911959143083,0.0954235586885086,0.0738274235831837,0.0372509026368533,0.0422595258883476,0.0213227742205132,0.0596102806483639,0.0300773974332959,0.102211568649461,0.0515726136349743,0.0610352830032951,0.0307964070018883,0.0222867989856481,0.0112451896437383,0.0170776361192599,0.00861681648187793,0.0281985913057298,0.0142280866410381,0.0122032948777837,0.00615738335808151,0.0370925859490431,0.0187157053663138,0.0291963995076499,0.0147315480159038,0.0510538510185251,0.0257601029702015,0.15034143710724,0.0758573706646598,0.188807947515239,0.0952663133642972
