"sample_id","tree","Intercept","longitude_norm","latitude_norm","log_n_speakers_norm","n_segments_norm","delta_norm"
72,"heggarty2024",-5.81358041714045,0.311439593322223,-0.0215551267991406,0.052112626584128,0.0487028160532289,-0.149428401929785
73,"heggarty2024",-5.80594744655041,0.12781165064181,-0.082007507813728,-0.0504111732905653,-0.0636449125498848,-0.201288658090947
74,"heggarty2024",-5.99711265993234,0.114741865685955,0.00251615428178018,-0.0498128317934804,0.0780386425633573,-0.247584404655714
75,"heggarty2024",-5.8892999946581,0.0900931365958613,-0.0453707433746055,-0.176453193644837,0.0585106219069619,-0.14241520184325
76,"heggarty2024",-5.92721499690852,-0.0600015892891798,-0.147747366673897,-0.0657685404049619,-0.023627421574227,-0.0896993726052992
77,"heggarty2024",-5.86321435697136,0.014008523687659,-0.146314344581272,-0.0819435072860914,0.0549820236968353,-0.123854657242443
78,"heggarty2024",-5.79256559700149,0.221837452650135,-0.00216656205157288,0.0641080443525092,-0.0435848110516165,-0.0978060233766412
79,"heggarty2024",-5.78222057031937,0.240094015943034,0.0825285489081249,-0.00906673458664686,-0.233186121996261,-0.28031882919517
80,"heggarty2024",-5.99812906522282,0.226845013800616,-0.115977741758769,-0.0652376357718888,0.0716331404349274,-0.178275549467674
81,"heggarty2024",-5.87500113255475,0.242687299114066,0.0286407641717843,-0.288758250071593,-0.0666070502658281,-0.0592593687327617
82,"heggarty2024",-6.12368762825839,0.57613316404661,0.316600452115868,0.141666320695937,-0.181549360890916,0.111089126323865
83,"heggarty2024",-5.84760572662386,0.20402594828491,-0.0799069571358968,0.0345744154589124,-0.0292561911755348,-0.115946737974501
84,"heggarty2024",-5.86734866135345,0.204646751231271,-0.099032870298682,-0.0178350393679183,-0.157057611305208,-0.246049289577918
85,"heggarty2024",-5.94305997299447,0.1610370503297,-0.139824131397642,-0.0130757760220587,-0.00510551177378869,-0.133625312978333
86,"heggarty2024",-6.00627291101234,0.195885325445345,0.144055387734779,0.196677149337653,-0.0534913175758025,-0.075331613746939
87,"heggarty2024",-5.8329438165959,0.0822208613589475,-0.153590238706183,-0.0513147261054817,-0.0811078114342419,-0.148135179066813
88,"heggarty2024",-5.72035589415549,0.172955869701432,0.000157849326276452,-0.0169144771723398,0.0669359450832182,-0.0625791550461356
