"sample_id","tree","Intercept","log_n_speakers_norm","n_segments_norm","delta_norm"
24,"long_v3_CCD0.0.25",1.61337304921887,-0.0304391423625827,0.0177672315255376,-0.0488017655010181
25,"long_v3_CCD0.0.25",1.92270295005125,0.00369217549084247,0.0087527542417092,-0.0129038360744323
26,"long_v3_CCD0.0.25",2.19008654691569,0.0661608575206835,0.0716014884391969,-0.115019743255155
27,"long_v3_CCD0.0.25",1.70767629103694,-0.0298641149667113,0.0487809355480569,-0.0320283427742584
28,"long_v3_CCD0.0.25",2.04800245749707,-0.023144971892553,0.0133506511554916,-0.0480735040174534
29,"long_v3_CCD0.0.25",1.78211481053008,-0.00933386007355069,0.0510014292298758,-0.136167983152959
30,"long_v3_CCD0.0.25",1.78873096096732,-0.0030146795361969,0.0393854368029018,-0.140780917342153
31,"long_v3_CCD0.0.25",1.8489830172154,-0.026886516493825,0.0321085659261505,-0.0559464828343529
32,"long_v3_CCD0.0.25",1.97903067055138,-0.035234132598817,0.0327300802346745,-0.0306266089356305
33,"long_v3_CCD0.0.25",1.87182208929539,0.0337670236018214,-0.0542749805587328,-0.0940271569263287
34,"long_v3_CCD0.0.25",2.0194676872099,-0.00203377773756695,0.0597014496348112,-0.0949416218833869
35,"long_v3_CCD0.0.25",1.69660865734114,0.00489608516922288,0.017018791240687,-0.0107414804229602
36,"long_v3_CCD0.0.25",1.75723301918516,0.0278467043060614,0.0719376557370026,-0.130117912094635
37,"long_v3_CCD0.0.25",2.22555626353431,0.0700083414542114,0.0450160876700305,-0.101391335832558
38,"long_v3_CCD0.0.25",1.92482300515612,0.0251292775160392,-0.0629432350995182,-0.148728924138856
39,"long_v3_CCD0.0.25",1.73017861706585,0.0160700223406669,0.0792146910869363,-0.0796206460216675
40,"long_v3_CCD0.0.25",1.89334867010859,-0.00567066217044567,0.0212464032672506,-0.0527759894387827
41,"long_v3_CCD0.0.25",1.9843732889629,0.00879863247696151,0.00800806806305774,-0.136204138773195
42,"long_v3_CCD0.0.25",1.80208514331169,0.026954547708259,0.0330031169485131,-0.0784135957199839
43,"long_v3_CCD0.0.25",1.73788527412911,-0.0473739041461642,0.033351093397418,-0.0416136275441083
44,"long_v3_CCD0.0.25",1.93083408236526,0.051749760134921,0.0329731588651628,-0.117214652844363
45,"long_v3_CCD0.0.25",1.6769497167077,0.017199941473851,0.0464598852530618,0.000652370180905403
46,"long_v3_CCD0.0.25",2.13566350749321,0.019380777635925,-0.0216897272588784,-0.126600549736253
47,"long_v3_CCD0.0.25",1.86407498042893,0.0508467457640098,0.01269226866604,0.00811826048259142
48,"long_v3_CCD0.0.25",1.88039791151641,0.0224842695517902,0.0562638645516491,-0.0810228704304414
49,"long_v3_CCD0.0.25",2.0186788590481,-0.0326410544178056,0.0288050996506812,-0.0734310198569437
50,"long_v3_CCD0.0.25",1.83427870281687,0.019019837369868,0.00299902638029063,-0.0634869194040366
51,"long_v3_CCD0.0.25",2.06618218921266,-0.00299803240663038,0.0461545346603115,-0.155505172571049
52,"long_v3_CCD0.0.25",1.84551611704649,0.0297766713428071,0.102207598615173,-0.0508734048520181
53,"long_v3_CCD0.0.25",1.73192487549992,0.0294355226962525,0.0477924290592555,-0.0592563553834578
54,"long_v3_CCD0.0.25",1.98044832760114,0.0671448156600684,0.05251871809292,-0.12828207671154
55,"long_v3_CCD0.0.25",1.76813560474223,0.0191020604816225,0.0794633048482826,-0.0225284263854598
56,"long_v3_CCD0.0.25",1.79295281865222,0.000653246109884689,0.0525220659766525,0.00171665378372347
57,"long_v3_CCD0.0.25",1.71500074882049,-0.028912629571219,0.0538648946864964,-0.0017926888892811
58,"long_v3_CCD0.0.25",2.06099535324242,0.0370574176282532,0.00922239595116051,-0.179332704538677
59,"long_v3_CCD0.0.25",1.75602698501386,0.024591760640011,0.0433427864099772,-0.105617743964729
60,"long_v3_CCD0.0.25",1.7061556498438,-0.00707744007501682,0.0696403143770745,0.0243263925470021
61,"long_v3_CCD0.0.25",1.92665447713435,-0.0169927803301466,0.030219710573985,-0.0454940163454313
62,"long_v3_CCD0.0.25",1.48677141165977,0.0116729011728338,0.115112938753286,-0.0668309861000894
63,"long_v3_CCD0.0.25",1.95299102856914,0.0601483343662168,-0.0294687641506719,-0.142483597919402
64,"long_v3_CCD0.0.25",1.4342218602144,-0.069519560590769,0.0112694875003958,-0.111496153433804
65,"long_v3_CCD0.0.25",1.94800718395175,0.0681499595549699,0.0734842827268351,-0.136844150799653
66,"long_v3_CCD0.0.25",1.94026840349912,0.0264545202095401,-0.0199535956780798,-0.164690476125246
