"sample_id","tree","R2_full","partial_R2_phylo","prop_residual","prop_phylo_norm","prop_residual_norm","shapley_longitude_norm","shapley_norm_longitude_norm","shapley_latitude_norm","shapley_norm_latitude_norm","shapley_log_n_speakers_norm","shapley_norm_log_n_speakers_norm","shapley_n_segments_norm","shapley_norm_n_segments_norm","shapley_delta_norm","shapley_norm_delta_norm"
5728,"long_v3_CCD0.0.25",0.994863781132195,1.05736845298314,0.00513621886780503,0.893688776324927,0.004341136849653,0.0193965837193119,0.0163940101674968,0.0673068188310478,0.056887784376145,0.0118712823504789,0.0100336186192008,0.0212425029046671,0.0179541827386574,0.000828786289115291,0.000700490923920287
5729,"long_v3_CCD0.0.25",0.973214845131955,0.678468155394313,0.0267851548680447,0.784586906050575,0.0309746030361455,0.109946510728581,0.127143170976771,0.0274334120110489,0.0317242536455529,0.00869961781390776,0.0100603192208328,0.0114762926491939,0.0132712919110094,0.00193655922521052,0.00223945515911292
5730,"long_v3_CCD0.0.25",0.898062488779459,0.842069507182119,0.101937511220541,0.709209181477957,0.0858539803163596,0.0492230190991192,0.0414566930489862,0.0161697352291271,0.0136185013098739,0.0143560354760642,0.012090964085992,0.0278466864073527,0.0234530825607496,0.135733384804619,0.114317597200081
5731,"long_v3_CCD0.0.25",0.955723145510913,1.34570421879762,0.0442768544890869,0.706865970651104,0.0232575638008853,0.260812487314088,0.136998509351428,0.154843508254665,0.0813355603947294,0.0403441685215311,0.0211918187100316,0.0156748490950712,0.00823362018608891,0.0421054109983465,0.0221169569057329
5732,"long_v3_CCD0.0.25",0.980613944469919,0.740241469665134,0.0193860555300808,0.796789401428181,0.0208669795125829,0.069061062303825,0.0743367195030993,0.0264302394980912,0.0284492771241447,0.0283225759688702,0.0304861714426092,0.00366320579361435,0.00394304246818624,0.0419256573788525,0.0451284085211962
5733,"long_v3_CCD0.0.25",0.989236841712477,0.886965633908965,0.0107631582875234,0.777010157514048,0.00942886961637966,0.0660175320020506,0.0578334616117347,0.0186856284430878,0.0163692059136789,0.0039124384018985,0.0034274207057217,0.00451645738174373,0.00395656057848389,0.150650141272351,0.131974324059953
5734,"long_v3_CCD0.0.25",0.983247205200615,0.712148283312162,0.0167527947993845,0.734027537246869,0.0172674890844385,0.135580154926412,0.139745569219549,0.0589939104640362,0.0608063739325161,0.00304814676038649,0.00314179464041868,0.00633527672514568,0.00652991474009872,0.0373343034097212,0.0384813211361103
5735,"long_v3_CCD0.0.25",0.926030698523675,0.896794755532599,0.0739693014763247,0.820213791565661,0.067652760956801,0.00745917878354652,0.00682220906653867,0.0248083027183864,0.0226898205073376,0.00236482334188914,0.00216288142595339,0.023228588718234,0.0212450047324228,0.0647421261039398,0.059213531745285
5736,"long_v3_CCD0.0.25",0.984151818119187,1.45560747526024,0.015848181880813,0.811064213114613,0.00883060398144822,0.186548126755361,0.103944581356173,0.0499521575200318,0.0278333328324784,0.00996812186763144,0.00555423564127797,0.0662857132661033,0.0369343870409165,0.0104785498777367,0.00583864603309302
5737,"long_v3_CCD0.0.25",0.998161184603672,0.931464028655098,0.00183881539632809,0.67382655104951,0.00133020986147312,0.196637291698413,0.14224857213667,0.165263517493066,0.119552599543162,0.00935798680023018,0.00676962263316858,0.0101953731299825,0.00737539282408808,0.0675928322052036,0.0488970519519281
5738,"long_v3_CCD0.0.25",0.99784038949349,1.18030912170287,0.00215961050651001,0.713353943042592,0.00130522304871499,0.0098873903947366,0.00597573025133528,0.00557511644196198,0.00336948281061946,0.0484825858350963,0.0293018524879903,0.0983520124090859,0.0594418822731571,0.309825313728859,0.187251886085591
5739,"long_v3_CCD0.0.25",0.998995797754853,1.72615844570256,0.00100420224514681,0.922142619686826,0.000536461581114114,0.0574824501872979,0.0307080832201114,0.0452557505292671,0.0241763764229456,0.00187317078050615,0.00100067905988417,0.0114688108730809,0.00612682997295251,0.0286568182297702,0.0153089500561659
5740,"long_v3_CCD0.0.25",0.998541913346694,0.891824374650211,0.0014580866533056,0.840360678319399,0.00137394617578259,0.0973067546982921,0.0916915624955742,0.0487901795345482,0.0459746891141651,0.00169608390978033,0.00159820954150155,0.00619321658182464,0.00583583027737094,0.0139713139564792,0.0131650840762064
5741,"long_v3_CCD0.0.25",0.992402837263055,1.02161974931527,0.00759716273694467,0.719597436829838,0.0053512070771426,0.286231189211583,0.201612420115665,0.0536496766600574,0.0377891772718784,0.0022961749902702,0.00161735483150033,0.0178792836963455,0.0125936159014809,0.0304368638256597,0.0214387879724949
5742,"long_v3_CCD0.0.25",0.992361618962866,0.929010508275804,0.00763838103713375,0.792365801630226,0.00651487992840741,0.122951296116964,0.104866846436435,0.0223554663343683,0.0190672837874837,0.0154021569444562,0.0131367108610847,0.00562441501041312,0.0047971406875669,0.0694693212168531,0.0592513366687965
5743,"long_v3_CCD0.0.25",0.986426022108829,1.26264987276093,0.0135739778911714,0.972901590713405,0.010459071012103,0.00318165477104246,0.00245154025246887,0.00111259818104975,0.000857283213280058,0.00145963117985677,0.00112468034676341,0.0149384811858826,0.0115104530734304,0.000902478966169498,0.000695381388548987
5744,"long_v3_CCD0.0.25",0.993810754205989,0.993852533315157,0.00618924579401141,0.779097601530352,0.00485185315905112,0.0226410589264758,0.0177487042739479,0.00402574889453973,0.00315585180191394,0.0206529681148352,0.0161902066789304,0.0301094751759011,0.023603320519427,0.198174705772838,0.155352462036378
5745,"long_v3_CCD0.0.25",0.995351130183878,0.715803293575906,0.00464886981612246,0.787307704850296,0.00511326373869369,0.108266712606557,0.119081901101809,0.0205508403194238,0.0226037447296472,0.00111587906117231,0.00122734861717832,0.0153101112534381,0.0168394985886843,0.0434828637866973,0.0478265383736913
5746,"long_v3_CCD0.0.25",0.976616605399756,1.5059077629251,0.0233833946002444,0.686944306746785,0.0106667155774868,0.314868048797446,0.143632179090262,0.290363810764639,0.132454172560096,0.011148453756244,0.00508554841500111,0.0364459353156831,0.0166254058751507,0.0100657856000221,0.00459167173521826
5747,"long_v3_CCD0.0.25",0.995591129117543,1.02935578553758,0.00440887088245651,0.74164878597872,0.00317658265825274,0.130992929569128,0.094380143922738,0.124990104473702,0.0900551204400749,0.00491403764806223,0.00354055430313217,0.0318932490876793,0.0229790222186794,0.0613739252659007,0.0442197904784032
5748,"long_v3_CCD0.0.25",0.993499530146587,0.911353566727617,0.00650046985341261,0.811000255107333,0.00578467337146089,0.136347820397596,0.121333937960906,0.034478765399174,0.0306821507649548,0.0101088747275602,0.00899574027272084,0.00570084135572325,0.00507309562678193,0.0192498342309746,0.0171301468958427
5749,"long_v3_CCD0.0.25",0.981649514290831,0.78531264403926,0.0183504857091687,0.638577383362767,0.0149217069616047,0.223517708342868,0.181753540341183,0.114937401374494,0.0934614074755319,0.018956057660981,0.0154141281079613,0.0127239226637866,0.0103464643061889,0.0559863991130756,0.0455253694447635
5750,"long_v3_CCD0.0.25",0.97948627048306,1.11876427546076,0.0205137295169401,0.758492650043119,0.0139077671721001,0.016922800207237,0.0114732118792862,0.0116564682135475,0.00790277778739019,0.00547368813191573,0.00371101608064525,0.03156127080672,0.0213977085772231,0.270091441396779,0.183114868460236
