"sample_id","tree","R2_full","partial_R2_linear","partial_R2_spline","partial_R2_phylo","prop_residual","shapley_log_n_speakers","shapley_n_segments","shapley_delta","shapley_log_n_speakers_n_segments","shapley_log_n_speakers_delta","shapley_n_segments_delta","prop_linear_norm","prop_spline_norm","prop_phylo_norm","prop_residual_norm","shapley_norm_log_n_speakers","shapley_norm_n_segments","shapley_norm_delta","shapley_norm_log_n_speakers_n_segments","shapley_norm_log_n_speakers_delta","shapley_norm_n_segments_delta"
2299,"long_v3_CCD0.0.25",0.721597547514302,0.301167391514359,1.45278842217854,0.312219648519961,0.278402452485698,0.0294946162072993,0.0556912110797603,0.0320420060018082,0.030874468383319,0.0339018902847909,0.109306415807577,0.124773191925571,0.622253511531021,0.133728882812264,0.119244413731144,0.0126330360471418,0.0238534745505684,0.0137241255827361,0.0132240497479768,0.0145207450411923,0.0468177609559556
2300,"long_v3_CCD0.0.25",0.938911083634155,0.129334607917525,0.24090795634797,1.45310898298944,0.0610889163658445,0.00786558334601551,0.0576183522538021,0.154355901051602,0.00526344372890014,0.00971718019457248,0.00446488330702974,0.119979141470185,0.12079272932917,0.728597771235492,0.0306303579651528,0.0039438518118469,0.0288901957979891,0.0773949970716413,0.00263912302159923,0.00487225384698529,0.0022387199201232
2301,"long_v3_CCD0.0.25",0.872424893996852,0.163025872366418,0.0666958765129087,1.00543313029854,0.127575106003148,0.00247606860234946,0.00581798460519755,0.0949168753663405,0.0260832907830959,0.000997705235746925,0.0574278064734984,0.135300926169143,0.0480717387170963,0.724676265823859,0.0919510692899018,0.00178465190235129,0.00419337222065017,0.0684123137893061,0.0187998000020939,0.000719106306372965,0.0413916819483686
2302,"long_v3_CCD0.0.25",0.979400294815131,0.283527759757075,0.249509230495689,0.580064154046153,0.0205997051848693,0.00373288575935151,0.00406096616405494,0.0883699271372324,0.0325055376420387,0.015434977586163,0.0823818323696215,0.210360087213926,0.231743922959581,0.538763004317827,0.0191329855086661,0.00346710054819804,0.00377182129893377,0.0820778996662749,0.0301911107501354,0.0143359916965975,0.0765161632537863
2303,"long_v3_CCD0.0.25",0.990449360799022,0.280472297714967,0.493804541120343,0.766109732619043,0.00955063920097797,0.0356391635418284,0.0313409985712038,0.0936611981482908,0.0588552088614505,0.0372686586831491,0.00994233023622988,0.173618238238295,0.321451237050558,0.498713358747439,0.00621716596370817,0.0231999754031746,0.0204020050894146,0.0609704964237423,0.038312891275683,0.0242607255286332,0.00647214451764709
2304,"long_v3_CCD0.0.25",0.985995811768608,0.243757177987518,0.116772247295389,0.895971805039533,0.0140041882313918,0.00409215672533512,0.0422264726296969,0.0148831663905589,0.120178081415049,0.00266965750258912,0.0487138105664016,0.184804449482326,0.092712324850585,0.711364480600094,0.0111187450669951,0.00324900284482028,0.0335260692366017,0.0118166172970561,0.0954164159904117,0.0021195974159317,0.0386767466975042
2305,"long_v3_CCD0.0.25",0.95964803357526,0.140392481425012,0.111155652896408,0.832830731592241,0.0403519664247403,0.0245188310660594,0.0388592991507236,0.0433421187153541,0.00450797652729794,0.00713790267104626,0.0157279192353289,0.119894637862892,0.0993852226271612,0.744641100234238,0.0360790392757087,0.0219224971520707,0.0347444326635314,0.0387525600850257,0.00403062047758437,0.00638205999936027,0.0140624674853193
2306,"long_v3_CCD0.0.25",0.971399530260741,0.295901998669635,1.75688944726905,1.00039335031497,0.0286004697392589,0.00569292487420281,0.0267466365411045,0.190613438414471,0.0244231363123884,0.0228588989954299,0.00789211256289716,0.090801932703308,0.573376676850406,0.326487369844735,0.009334020601551,0.00185793724870017,0.00872900545945141,0.0622084104671509,0.00797071025660114,0.00746020733565914,0.0025756619357452
2307,"long_v3_CCD0.0.25",0.856183525914673,0.182480924691003,0.229617612899755,0.68688886452974,0.143816474085327,0.00527149925898278,0.0194903303799772,0.0666458530349414,0.0103132966697552,0.00694051533081429,0.0613792001292911,0.138203607780957,0.186625810659152,0.558281176939034,0.116889404620858,0.00428450505243375,0.0158411136726081,0.0541676058410495,0.00838231583045708,0.00564102763567606,0.0498870397487329
2308,"long_v3_CCD0.0.25",0.822788099362233,0.127266804898922,1.11917059863454,0.586054602938789,0.177211900637767,0.0200685267382612,0.00256048082332219,0.0299236234273771,0.0194724599911777,0.0294009933988513,0.145310359622526,0.115883669717958,0.525636156162718,0.275249804780482,0.0832303693388414,0.00942550069437001,0.00120257027797325,0.0140541025791934,0.00914554852788559,0.013808641127986,0.0682473065105497
2309,"long_v3_CCD0.0.25",0.756504452312584,0.0379805359260532,0.380289156938475,0.32388313819923,0.243495547687416,0.00296780762343102,0.0794259025913345,0.0938407274074568,0.0269846090759233,0.0446516120058721,0.0214098556517049,0.221275219089438,0.312494079715465,0.266143699761863,0.200087001433234,0.00243872930672768,0.0652664528635635,0.0771115116378859,0.022173996880554,0.0366914600298332,0.0175930683708736
2310,"long_v3_CCD0.0.25",0.829272688421421,0.26223433504841,0.397562365124998,0.51630672297763,0.170727311578579,0.0465607280808195,0.0787966476612549,0.167178445152921,0.021445705829477,0.0242200836936933,0.00456484273940338,0.240139676099785,0.278529292207875,0.361720722905732,0.119610308786607,0.032620106364838,0.0552043564147282,0.11712399886296,0.0150247050263535,0.0169684139148807,0.00319809551602433
2311,"long_v3_CCD0.0.25",0.764808403132734,0.174286769860817,0.144532585463783,0.845863835811523,0.235191596867266,0.0269293985823312,0.0127476264171439,0.170552852097384,0.0128870379277843,0.00202337834936254,0.0243074644747285,0.16911302214422,0.0979858168976605,0.573453098276925,0.159448062681195,0.0182567765613909,0.00864224897092872,0.115626247765254,0.00873676295690085,0.00137174866013179,0.016479237229614
2312,"long_v3_CCD0.0.25",0.849263116462373,0.0825566668362968,2.88746967811773,0.687736906556321,0.150736883537627,0.158766785621302,0.00262255609570549,0.00706934348909021,0.00211274488483569,0.0284260350209798,0.0104380815924716,0.0532186470249935,0.733720860728663,0.174757476713076,0.0383030155332679,0.0403434548539128,0.000666404960174191,0.00179635645316389,0.000536859315666384,0.0072232013519506,0.00265237009012566
2313,"long_v3_CCD0.0.25",0.976865332837214,0.109143508108743,1.25149395382189,0.577348410555468,0.0231346671627862,0.0018121456096122,0.00392913504772028,0.0219386530904285,0.017585740874086,0.015032696747724,0.0293164075448,0.0461553136101212,0.644571092174581,0.297358284808749,0.0119153094065485,0.000933329858446401,0.00202366688330875,0.0112993127455007,0.00905738311183404,0.00774245990675299,0.0150991611042783
2314,"long_v3_CCD0.0.25",0.968129145672221,0.389443211563528,0.0704406004492115,0.599432024385088,0.0318708543277786,0.00780140289675132,0.0260725450531128,0.0679358942695443,0.0534826277975382,0.0826305982075452,0.136891387028908,0.348160041620897,0.0654313141888249,0.556804241762012,0.0296044024282659,0.00724661687713734,0.0242184319297865,0.063104726738585,0.04967928440059,0.0767544370497904,0.127156544625008
2315,"long_v3_CCD0.0.25",0.993926560485675,0.290065026566024,0.804415281800215,0.913390307021285,0.00607343951432537,0.00666175682183864,0.0377562832628082,0.201435275940428,0.00876651431064921,0.0158323900304542,0.0189731100594979,0.143756372038909,0.399549764197132,0.453677211319983,0.00301665244397598,0.00330886723254137,0.018753390712388,0.100052073629018,0.00435429162635003,0.00786388305451918,0.00942386578409303
2316,"long_v3_CCD0.0.25",0.954604780338251,0.122702649661104,0.316887852216675,0.739158253780741,0.0453952196617487,0.00558626092701419,0.00244668531814482,0.0523605217575011,0.0120238280403342,0.00933130332271875,0.0443489974416596,0.102723909197112,0.258148924174185,0.602146490227392,0.0369806764013108,0.00455078109929869,0.00199316312775533,0.0426548770056849,0.00979506866973658,0.00760163539577958,0.0361283838988564
2317,"long_v3_CCD0.0.25",0.947787755462514,0.150751120550042,0.103966366535252,0.516661419941622,0.0522122445374861,0.0505197708818162,0.00314725899883598,0.0139325584898491,0.00826680513745059,0.0390826673617539,0.0560573430066842,0.202651094803203,0.123205315844834,0.612269482430784,0.0618741069211791,0.0598684414520952,0.00372965846474595,0.0165107748445402,0.00979657529574188,0.0463149048758069,0.0664307398702724
2318,"long_v3_CCD0.0.25",0.988725678987112,0.0749501810639305,0.648613565805992,1.10022272323164,0.0112743210128876,0.00695601341008069,0.00259863015127306,0.0115054716068028,0.00977049776854262,0.0251795255226673,0.0238212903542147,0.0433880128435271,0.352518477270305,0.597965968488262,0.00612754139790614,0.00378056116070647,0.00141234348494876,0.006253170678086,0.00531022041029863,0.0136849558251368,0.0129467612843505
2319,"long_v3_CCD0.0.25",0.992851031415218,0.114170612282032,0.216744708245474,0.860940233425329,0.00714896858478204,0.0601929917057507,0.00114635322710472,0.00172106307797891,0.0309606554106422,0.00510519582943431,0.0203649766278267,0.0992184181010285,0.179971919494654,0.714873583922747,0.00593607848157037,0.0499806816281798,0.000951863565071543,0.00142906845672302,0.0257078875335457,0.00423905109498138,0.016909865822527
2320,"long_v3_CCD0.0.25",0.999436795893302,0.25839906089284,0.0649433575575908,0.862265013096607,0.000563204106697471,0.0111769248365827,0.00585194398121297,0.122406705020316,0.0101562981716351,0.0791481488024845,0.0201620368270008,0.211530241509306,0.0551923284157581,0.732798789191695,0.000478640883240217,0.0094987467457603,0.00497329405544377,0.104027745374591,0.00863136378004723,0.0672643174990176,0.0171347740544463
2321,"long_v3_CCD0.0.25",0.993929166231744,0.520063641909975,0.598013337261661,0.799068889501991,0.00607083376825597,0.159518824092009,0.0457472348389962,0.0167968227734946,0.108402838658917,0.00800412829522387,0.142568188187435,0.255302149296577,0.317384652806103,0.424091213791407,0.00322198410591371,0.0846617014134042,0.0242795090703154,0.00891460680228711,0.0575328260545168,0.00424804485402904,0.0756654611020246
