"sample_id","tree","Intercept","longitude_norm","latitude_norm","log_n_speakers_norm","n_segments_norm","delta_norm","longitude_norm.latitude_norm","longitude_norm.log_n_speakers_norm","longitude_norm.n_segments_norm","longitude_norm.delta_norm","latitude_norm.log_n_speakers_norm","latitude_norm.n_segments_norm","latitude_norm.delta_norm","log_n_speakers_norm.n_segments_norm","log_n_speakers_norm.delta_norm","n_segments_norm.delta_norm"
704,"long_v3_CCD0.0.25",1.83066593733005,0.122317714161993,0.1908222420645,-0.045748246533007,0.0849750314475656,-0.156111197304383,0.0946020878341037,-0.330727483985241,0.220240272970813,0.0722326704758639,-0.156559335262498,0.0225558270798771,-0.0181022140063113,0.126435922553743,0.00833600876203517,0.0309920870945949
705,"long_v3_CCD0.0.25",1.9555892425168,-0.222936919180259,-0.0762054109085142,-0.0644653397604047,0.0728449361958082,0.0181037097979439,-0.0300692439379366,0.0246074354197188,-0.0635069652705402,-0.0725783524183984,0.0918271665586504,-0.23579537499011,-0.0342391943199543,-0.114824271064648,0.00575622456682373,0.0856457623452177
706,"long_v3_CCD0.0.25",2.14645450704246,-0.173871547219758,0.117211941203262,-0.0864131095338552,0.159986237736079,-0.137726981441047,-0.0422232449199426,-0.0573229836676874,-0.107629020919908,0.0572255274921695,-0.0232807858374962,-0.233019280894697,-0.0647628463310947,-0.174274078102698,0.107329950607251,-0.0098905709842524
707,"long_v3_CCD0.0.25",1.82045909000802,-0.224199836579164,-0.192040109264702,-0.0473893687768369,-0.0216842795416031,-0.0612980220149769,-0.116446722529655,0.0659584880745483,-0.0623121068233386,-0.110119717598739,-0.067287634228053,-0.122839294155736,-0.184904980803625,-0.10394338864384,0.0692008257989394,0.180212386638796
708,"long_v3_CCD0.0.25",1.99158207031891,-0.178086348523133,-0.192035218290586,-0.0950427977224331,0.0680979822066363,-0.013967162038229,-0.00198137646223704,0.00182265821842637,-0.0882496503100954,-0.148583118885167,-0.0406711609825801,-0.178395905049863,-0.171032888191541,-0.118598448980347,0.047415232940262,0.148814697519531
709,"long_v3_CCD0.0.25",2.09783509534588,-0.0501231316848158,-0.0114384597615099,-0.0326208708797008,0.000411581346357881,-0.0124816774224348,-0.0324450326866232,0.00906848741253848,0.0231563505528761,-0.00249216002519622,0.0312951922289017,-0.0681104370042471,-0.157254996880268,-0.0305423073180238,0.0411670035476868,0.076356645769072
710,"long_v3_CCD0.0.25",2.04571371805956,-0.0565142270838137,0.13061424451762,0.0787062368453692,-0.01952062638926,-0.069901113467129,-0.0768995000442637,-0.0878133594539684,-0.051646928419259,0.0237941270661401,-0.122606183541425,-0.0388981705781567,-0.0303530013760545,0.0299422084473554,-0.0421279214998813,0.0937080060665837
711,"long_v3_CCD0.0.25",2.13138462708116,-0.109083863806082,-0.175256762810566,0.00851176517328747,-0.147992253167679,-0.018849568531765,0.147868070466644,0.112211182828404,-0.260649005888921,-0.0607370436985365,-0.119289595627099,-0.33707880046894,0.00399350468361141,-0.182739065406867,0.0617835262339672,0.186241269203224
712,"long_v3_CCD0.0.25",2.15278569426936,-0.216571638453013,-0.279412620086829,0.0223435839996514,0.00325072670287579,-0.096627802802852,0.22071989076099,0.0263763886786638,-0.125222898336096,-0.175525183229556,-0.0968381971045329,-0.235107522226183,-0.0348790982855856,-0.165181192686832,0.0982871742338262,0.164015381778447
713,"long_v3_CCD0.0.25",2.10955276573497,-0.309567099142168,-0.0884186331343106,0.0266050373660136,0.00554243670986219,-0.0788844582491724,-0.0326127516373663,0.02105649499775,0.0218368725941988,0.000293130899932811,-0.00340581689628844,-0.118596185094882,-0.0211931210283259,-0.0734488290592975,0.00302900488734734,0.188176296310199
