"language","node","CAheight_95%_HPD","CAheight_mean","CAheight_median","CAheight_range","height","height_95%_HPD","height_median","height_range","length","length_95%_HPD","length_median","length_range","posterior","rate","rate_95%_HPD","rate_median","rate_range","glottocode","n_speakers","latitude","longitude","Hittite","log_speakers","taxonset"
"NorwegianBokmal",13,NA,NA,NA,NA,2.40669610670882e-16,"0.0,8.881784197001252E-16",0,"0.0,3.552713678800501E-15",1.44449960411125,"0.7603364482598907,2.090752547029001",1.44616823844743,"0.43916382120966624,2.448859722454841",1,9.25530084543352,"2.9967673692121655,16.00752540567201",8.80842914172567,"2.182595817901645,32.76163458404271","norw1258",5,59.92,10.71,2781.79475459462,1.6094379124341,"germanic"
"Swedish",14,NA,NA,NA,NA,2.40669610670882e-16,"0.0,8.881784197001252E-16",0,"0.0,3.552713678800501E-15",1.44449960411125,"0.7603364482598907,2.090752547029001",1.44616823844743,"0.43916382120966624,2.448859722454841",1,8.95786944377706,"2.945623465541683,15.572199002959339",8.5089751262486,"2.182595817901645,32.76163458404271","swed1254",8,59.800634,17.389526,2519.48724123459,2.07944154167984,"germanic"
"Dutch",15,NA,NA,NA,NA,2.42051068050706e-16,"0.0,8.881784197001252E-16",0,"0.0,2.6645352591003757E-15",1.98849215496112,"1.3263703287670259,2.5868149935852345",2.02359139983939,"0.6042231327880909,2.820079905549925",1,8.53033094108323,"3.29829924675831,14.18725725270327",8.31298672825248,"2.452469022701108,29.72716237137788","dutc1256",21,52,5,2646.40308537777,3.04452243772342,"germanic"
"German",16,NA,NA,NA,NA,2.42051068050706e-16,"0.0,8.881784197001252E-16",0,"0.0,2.6645352591003757E-15",1.98849215496112,"1.3263703287670259,2.5868149935852345",2.02359139983939,"0.6042231327880909,2.820079905549925",1,8.02241006232664,"2.9716368505999657,13.157102226313016",7.821807522942,"2.2719712461274773,29.72716237137788","stan1295",83,48.649,12.4676,2023.30467812331,4.4188406077966,"germanic"
"English",17,NA,NA,NA,NA,2.4323517437627e-16,"0.0,8.881784197001252E-16",0,"0.0,2.6645352591003757E-15",2.68283308048336,"2.3176102809118824,2.8999521186462927",2.72901604527697,"1.831912521578877,2.8999521186462927",1,6.81837509581461,"3.0911897941664197,10.433151640609676",6.86517721212464,"2.1011766694037064,13.219784814912558","stan1293",550,53,-1,3067.32852518812,6.30991827822652,"germanic"
"Catalan",18,NA,NA,NA,NA,2.44517956228965e-16,"0.0,8.881784197001252E-16",0,"0.0,2.6645352591003757E-15",0.825591725960853,"0.48478957621694896,1.1417355242275518",0.835816423367129,"0.3155791813957123,1.3557079177012548",1,15.4089748789235,"5.773701791657369,27.564674981043076",14.576804356951,"3.57383185189518,38.81844047519411","stan1289",4,41.453,1.569,2804.23155090946,1.38629436111989,"latinofaliscan"
"Spanish",19,NA,NA,NA,NA,2.44517956228965e-16,"0.0,8.881784197001252E-16",0,"0.0,2.6645352591003757E-15",0.825590421752388,"0.48478957621694896,1.1417355242275518",0.835816423367129,"0.3155791813957123,1.3557079177012548",1,15.606691095586,"5.900113741512514,27.569503501202497",14.825395444735,"3.57383185189518,38.81844047519411","stan1288",490,40.4414,-1.11788,3045.31100655881,6.19440539110467,"latinofaliscan"
"Portuguese",20,NA,NA,NA,NA,2.42347094632097e-16,"0.0,8.881784197001252E-16",0,"0.0,2.6645352591003757E-15",1.16737340135357,"0.8567741627307033,1.4637982340082267",1.18123826645991,"0.5053474494694479,1.5400583657502853",1,15.0879246796606,"6.087539261811018,24.235987255167252",14.757981273323,"4.299659563799152,36.63658901016271","port1283",220,39.91,-8.1,3636.8736609898,5.39362754635236,"latinofaliscan"
"Italian",21,NA,NA,NA,NA,2.43925903066183e-16,"0.0,8.881784197001252E-16",0,"0.0,3.552713678800501E-15",1.18551636540471,"0.8876278290242574,1.453309106187664",1.20091731380649,"0.566863128859342,1.5470249817717328",1,12.3995261775589,"5.0979895132707,19.609969461787912",12.2254517936457,"3.389936156698148,31.367163914420583","ital1282",61,43.0464,12.6489,1885.45167208446,4.11087386417331,"latinofaliscan"
"Romanian",22,NA,NA,NA,NA,2.39978881980969e-16,"0.0,8.881784197001252E-16",0,"0.0,2.6645352591003757E-15",1.45838043469129,"1.2816870206393212,1.5999958945379946",1.47524853130892,"0.7708790605140923,1.5999958945379946",1,11.7704355487416,"5.242276476845883,17.948965203284427",11.7580902555119,"3.389936156698148,25.030292364831404","roma1327",19,46.3913,24.2256,1124.26451521327,2.94443897916644,"latinofaliscan"
