"sample_id","tree","R2_full","partial_R2_linear","partial_R2_spline","partial_R2_phylo","prop_residual","shapley_log_n_speakers","shapley_n_segments","shapley_delta","prop_linear_norm","prop_spline_norm","prop_phylo_norm","prop_residual_norm","shapley_norm_log_n_speakers","shapley_norm_n_segments","shapley_norm_delta"
6605,"heggarty2024",-0.0540439427181587,0.11239885816815,0.687632252038047,-0.0495720857451298,1.05404394271816,0.00056214924332435,0.0428137077412767,0.0324482620735517,0.0417189028699653,0.378339550651809,0,0.579941546478225,0.000309298017200656,0.0235563688302338,0.0178532360225309
6606,"heggarty2024",0.540828845363442,0.428293835248014,0.6891301330776,0.805794038366085,0.459171154636558,0.0920588961694405,0.0343737499351894,0.458789220420989,0.230464263475908,0.271384029960593,0.317327051820247,0.180824654743252,0.0362534056152982,0.0135366113517764,0.180674246508833
6607,"heggarty2024",0.588195850155818,0.0498927092551972,0.284828929250608,1.6319501630258,0.411804149844182,0.0150490013569055,0.00132543812618158,0.0357084239571081,0.0218774330925867,0.11964253558502,0.685501490198006,0.172978541124387,0.00632134062049015,0.000556750954317199,0.0149993415177794
6608,"heggarty2024",0.30871847594709,0.0265889200102041,0.447700929641353,-0.0112993803423986,0.69128152405291,0.00103511482689477,0.00206812766736009,0.0103144380151006,0.0116432479579916,0.388494340076368,0,0.59986241196564,0.000898225187738373,0.00179462636802737,0.00895039640222581
6609,"heggarty2024",0.102114674134336,-0.0670207881006676,0.197986041274471,0.0137006468385619,0.897885325865664,0.00661470015724498,0.00333417375756752,0.00742326604130856,0.0154152625003331,0.175683986276681,0.0121573431928503,0.796743408030135,0.00586959001841326,0.00295859714603069,0.00658707533588919
6610,"heggarty2024",0.473418965658593,0.189135473391082,0.837455407509061,1.29621257296235,0.526581034341407,0.083460310345079,0.054277516948584,0.0642823023949211,0.0705804099788022,0.292584437462098,0.452861875499183,0.183973277059917,0.0291587918995709,0.0189631073139487,0.0224585107652827
6611,"heggarty2024",0.104526498719996,-0.0407730377060006,0.0218883849834116,0.00872439805212791,0.895473501280004,0.00241973678098568,0.0177870823190608,0.00353971753653022,0.0250007539355957,0.023044460562513,0.00918519328841733,0.942769592213474,0.00254753965920036,0.0187265400044093,0.00372667427198608
6612,"heggarty2024",0.303264423478741,0.681731883576027,0.728369617555298,2.1244140878356,0.696735576521259,0.0251510102062929,0.0978944790311374,0.657475826591328,0.180257274316545,0.168213115123056,0.490622210088274,0.160907400472126,0.00580849293177871,0.0226082127456752,0.151840568639091
6613,"heggarty2024",0.0716910242129368,-0.164553069074801,0.626015421827776,-0.0242604056565545,0.928308975787063,0.0209758267082351,0.0602158408004385,0.190713960061233,0.148889035784197,0.342791112398038,0,0.508319851817765,0.011485862360692,0.0329727580699189,0.104430415353586
6614,"heggarty2024",0.0780623954087626,0.0164049782187038,2.00048982886736,0.0723117082275389,0.921937604591237,0.0208045909447184,0.0353013958764839,0.0137948171653236,0.0228088144857694,0.652765043962862,0.0235954988218582,0.30083064272951,0.00678859223710602,0.0115189374615867,0.00450128478707661
6615,"heggarty2024",0.210316440995357,-0.0500952425428627,0.809863436512992,0.00715696556326135,0.789683559004643,0.0030875884693838,0.0849956152567185,0.250386030961189,0.174004677539073,0.416345155421063,0.00367934617792989,0.405970820861934,0.00158730774005163,0.0436956541667499,0.128721715632271
6616,"heggarty2024",0.187221182134383,-0.0186360242598977,0.523816288985414,0.0446110636595216,0.812778817865617,0.0148405052931967,0.044196926925728,0.0140735512449492,0.0502716916073449,0.36018023135731,0.0306749208985168,0.558873156136828,0.0102044490451342,0.0303901571984794,0.00967708536373124
6617,"heggarty2024",0.229664456972175,0.0524140779760318,0.284229627689168,0.00111706058424654,0.770335543027825,0.00372219009023837,0.0203757820888701,0.0769931224505582,0.0873905823756043,0.245709009118477,0.000965669383280079,0.665934739122639,0.00321773506252226,0.0176143256696145,0.0665585216434676
6618,"heggarty2024",0.239666473276153,0.0237914560676312,0.689542138480398,-0.00662501261627238,0.760333526723847,0.0334630755216025,0.00841906971097002,0.097717381625332,0.0878274335800052,0.43381749015271,0,0.478355076267285,0.0210529083364858,0.00529676068743628,0.0614777645560832
6619,"heggarty2024",0.257208347544907,0.0336967078013614,0.485895314478968,0.0172870238188724,0.742791652455093,0.0170773203341315,0.0167505930764758,0.000408994579531312,0.0267431780371132,0.37954317914027,0.0135032624982688,0.580210380324348,0.0133394586398993,0.0130842450200368,0.000319474377177126
6620,"heggarty2024",0.0464770418282745,0.0174632747322481,-0.129984731661569,0.0812987463798774,0.953522958171725,0.00507348172868908,0.0141850844638546,0.000451240873025973,0.0186905814083675,0,0.0770946581342098,0.904214760457423,0.00481112387140396,0.0134515510514248,0.000427906485538753
6621,"heggarty2024",0.2149314256153,0.00786180650764575,0.654334168443167,0.0425096684575718,0.7850685743847,0.000709822554320043,0.0657973057325088,0.0144273758462169,0.0517865846837429,0.418680909811282,0.027200148676231,0.502332356828744,0.000454185593814205,0.0421009281736914,0.00923147091623732
6622,"heggarty2024",0.33211708558882,0.189192311476461,0.765437382062946,0.112486160308857,0.66788291441118,0.00170946657826281,0.0201321675614325,0.159194236818329,0.104836364067383,0.443258408579933,0.0651397979432247,0.386765429409459,0.000989937848291613,0.0116583704476185,0.0921880557714732
6623,"heggarty2024",0.293767567959503,0.0848575181029162,0.434831624512375,0.00662780435470759,0.706232432040497,0.0177907778606076,0.0218411632149416,0.0892479934241368,0.100957842687234,0.340624496073603,0.00519187747884803,0.553225783760315,0.0139363707741419,0.017109232158755,0.0699122397543367
