"sample_id","tree","R2_full","partial_R2_linear","partial_R2_spline","partial_R2_phylo","prop_residual","shapley_log_n_speakers","shapley_n_segments","shapley_delta","prop_linear_norm","prop_spline_norm","prop_phylo_norm","prop_residual_norm","shapley_norm_log_n_speakers","shapley_norm_n_segments","shapley_norm_delta"
10458,"long_v3_CCD0.0.25",0.936089312046827,0.26666820184025,0.73465680652107,1.3864373117469,0.0639106879531735,0.226961486814478,0.122995333285572,0.0217143912132815,0.145372823449,0.287348417039377,0.542281189418715,0.0249975700929075,0.0887720951962261,0.0481075163384143,0.00849321191435973
10459,"long_v3_CCD0.0.25",0.921730206346499,0.196858286799808,0.350914565780315,0.575803600535964,0.0782697936535006,0.0632655629867556,0.01956046539245,0.0906951417321329,0.147237866625093,0.297761431645558,0.488586457108169,0.0664142446211794,0.0536827092569075,0.0165976358546358,0.0769575215135501
10460,"long_v3_CCD0.0.25",0.930817188192996,0.151884975151704,0.232263998780926,0.735729363360105,0.0691828118070043,0.00311317729914219,0.0443140887940015,0.134868914577134,0.14948775179683,0.190462701266912,0.603317787872595,0.0567317590636633,0.00255288878616407,0.0363387399691168,0.110596123041549
10461,"long_v3_CCD0.0.25",0.928669851406423,0.300693469018433,0.557219223080015,0.795196306117046,0.0713301485935771,0.00291640417682233,0.0597359606822028,0.269598765334191,0.189209415804514,0.317323596800717,0.452846100005187,0.0406208873895817,0.00166082544316854,0.0340182626816894,0.153530327679656
10462,"long_v3_CCD0.0.25",0.926656545669467,0.347885451771757,0.524820969568684,0.712290930884181,0.0733434543305332,0.000958085308113828,0.0375930874212208,0.268575196502672,0.189867605866374,0.324447885245572,0.440343087653108,0.0453414212349463,0.00059229483981528,0.0232403017807976,0.166035009245761
10463,"long_v3_CCD0.0.25",0.929198850890663,0.121280021179202,0.108340510996965,0.774198359684883,0.0708011491093374,0.0161449555057478,0.024069476210619,0.0601419076702487,0.0952421810253986,0.102819479305692,0.734745216628621,0.0671931230402879,0.015322208684811,0.0228428958693569,0.0570770764712307
10464,"long_v3_CCD0.0.25",0.963822471650666,0.0796121467227903,0.299890396677644,0.811980394756644,0.0361775283493341,0.0300924971782547,0.0334626810190834,0.0462471161705757,0.0872935888670526,0.23841495429084,0.645530069804317,0.02876138703779,0.0239237448705729,0.0266030644995591,0.0367667794969206
10465,"long_v3_CCD0.0.25",0.921419291800555,0.203451580867459,0.455873611261734,0.687025959155164,0.0785807081994453,0.0183961457668116,0.0573916303644899,0.258181722334117,0.214709277911879,0.293081536915332,0.441689580260264,0.0505196049125248,0.0118268979415879,0.0368971285412792,0.165985251429012
10466,"long_v3_CCD0.0.25",0.950873687695694,0.127903568818315,0.228860995365228,0.75292643835154,0.0491263123043061,0.00273043762901599,0.0503331242266799,0.0609248999998207,0.0995617451615601,0.199895671255354,0.657633842586404,0.0429087409966821,0.00238486537123553,0.0439628152347011,0.0532140645556235
10467,"long_v3_CCD0.0.25",0.9652825083911,0.130450118548715,0.411504746143576,0.765168106340121,0.0347174916088995,0.00878444688797691,0.0909901349377257,0.0204706274066191,0.0902988876589284,0.309022048199377,0.574607747915409,0.0260713162262862,0.00659673501961051,0.0683296076847268,0.0153725449545911
